effective_sequence_length,backend,token_events,gpu_tpot_p50_ms,gpu_tpot_p95_ms,gpu_tpot_max_ms
508,eager,134,17.992192268371582,19.110714244842526,22.93129539489746
508,flash,145,14.822400093078612,15.621120262145995,22.290239334106445
509,eager,133,17.874624252319336,19.06487045288086,23.997535705566406
509,flash,145,14.819328308105469,15.544697952270507,17.835647583007812
510,eager,133,17.82579231262207,18.74411544799805,23.213951110839844
510,flash,145,14.800992012023926,15.739321517944335,16.076351165771484
511,eager,133,17.81964874267578,19.00962562561035,21.121023178100582
511,flash,146,14.854496002197266,15.870368003845215,16.299007415771484
512,eager,133,18.057247161865234,19.180147171020504,26.571840286254883
512,flash,144,14.788399696350098,15.860046672821042,16.44304084777832
513,eager,133,17.936159133911133,19.22910041809082,26.389087677001957
513,flash,144,14.842879772186278,15.568481492996215,16.109567642211914
514,eager,133,17.887231826782227,19.321875762939452,22.63039970397949
514,flash,143,14.754688262939451,15.365715408325196,16.150527954101562
515,eager,131,17.864639282226562,18.974271774291992,21.981184005737305
515,flash,143,14.797823905944824,15.741782188415527,16.040864944458008
516,eager,131,17.87059211730957,18.787424087524414,21.634048461914062
516,flash,143,14.84921646118164,15.579010868072512,15.924384117126465
