request_id,workload_category_eager,backend_eager,status_eager,finish_reason_eager,source_eager,source_id_eager,prompt_hash_eager,frozen_input_tokens_eager,runtime_input_tokens_eager,max_new_tokens_eager,output_tokens_eager,output_hash_eager,ended_with_eos_eager,hit_max_new_tokens_eager,generation_ratio_eager,sampling_seed_eager,template_ms_eager,tokenization_ms_eager,preprocess_ms_eager,h2d_ms_eager,model_ttft_ms_eager,stream_cpu_first_token_ms_eager,request_ttft_ms_eager,decode_total_gpu_ms_eager,decode_wall_ms_eager,mean_tpot_ms_eager,p50_tpot_ms_eager,p95_tpot_ms_eager,p99_tpot_ms_eager,mean_stream_itl_ms_eager,p50_stream_itl_ms_eager,p95_stream_itl_ms_eager,p99_stream_itl_ms_eager,e2e_model_ms_eager,e2e_request_ms_eager,decode_tokens_per_s_eager,stream_decode_tokens_per_s_eager,stream_total_chars_eager,start_allocated_gib_eager,start_reserved_gib_eager,post_prefill_allocated_gib_eager,post_prefill_reserved_gib_eager,final_allocated_gib_eager,final_reserved_gib_eager,peak_allocated_gib_eager,peak_reserved_gib_eager,error_type_eager,error_message_eager,workload_category_flash,backend_flash,status_flash,finish_reason_flash,source_flash,source_id_flash,prompt_hash_flash,frozen_input_tokens_flash,runtime_input_tokens_flash,max_new_tokens_flash,output_tokens_flash,output_hash_flash,ended_with_eos_flash,hit_max_new_tokens_flash,generation_ratio_flash,sampling_seed_flash,template_ms_flash,tokenization_ms_flash,preprocess_ms_flash,h2d_ms_flash,model_ttft_ms_flash,stream_cpu_first_token_ms_flash,request_ttft_ms_flash,decode_total_gpu_ms_flash,decode_wall_ms_flash,mean_tpot_ms_flash,p50_tpot_ms_flash,p95_tpot_ms_flash,p99_tpot_ms_flash,mean_stream_itl_ms_flash,p50_stream_itl_ms_flash,p95_stream_itl_ms_flash,p99_stream_itl_ms_flash,e2e_model_ms_flash,e2e_request_ms_flash,decode_tokens_per_s_flash,stream_decode_tokens_per_s_flash,stream_total_chars_flash,start_allocated_gib_flash,start_reserved_gib_flash,post_prefill_allocated_gib_flash,post_prefill_reserved_gib_flash,final_allocated_gib_flash,final_reserved_gib_flash,peak_allocated_gib_flash,peak_reserved_gib_flash,error_type_flash,error_message_flash,workload_category,prompt_hash,frozen_input_tokens,runtime_input_tokens,max_new_tokens,sampling_seed,same_output_hash,same_output_tokens,same_finish_reason,output_token_delta_flash_minus_eager,model_ttft_ms_speedup_eager_over_flash,request_ttft_ms_speedup_eager_over_flash,mean_tpot_ms_speedup_eager_over_flash,mean_stream_itl_ms_speedup_eager_over_flash,e2e_request_ms_speedup_eager_over_flash,decode_throughput_speedup_flash_over_eager,peak_allocated_reduction_pct,peak_reserved_reduction_pct,input_band
req_0553,coding_request,eager,ok,length,lmsys_chatbot_arena_conversations,fbcec1843a084bfeb04d7e5e3c502cd6,20490837e46d8c1db230,44,44,512,512,338e270c04bf8d0b8bfc,0,1,1.0,42026553,0.076211000305193,0.3004760001203976,0.3766870004255906,0.1706559956073761,21.69856071472168,0.052520999815897,22.87230499950965,9139.476722717283,9226.36839400002,17.885473038585687,17.803264617919922,18.820703506469727,19.40917797088623,18.05544930137085,17.972313999962353,19.005680499958544,19.57444959989516,9161.175283432009,9249.240698999529,55.91129727699258,55.3847384126031,2369,2.88515853881836,6.34375,2.898787021636963,6.34375,2.900271415710449,6.34375,2.9059648513793945,6.34375,,,coding_request,flash,ok,length,lmsys_chatbot_arena_conversations,fbcec1843a084bfeb04d7e5e3c502cd6,20490837e46d8c1db230,44,44,512,512,64fda165b314444794f4,0,1,1.0,42026553,0.0763420002840575,0.3240860005462309,0.4004280008302885,0.1228799968957901,17.01375961303711,0.0422610000896384,18.05638599944359,7939.578679084778,8025.054628999896,15.537335966897803,15.237759590148926,17.157471656799316,18.373424911499026,15.704539252446512,15.388411999992968,17.320480499620317,18.599212000117404,7956.592438697815,8043.11101499934,64.36109781821631,63.67557899897837,2323,2.88515853881836,4.693359375,2.898787021636963,4.693359375,2.900271415710449,4.693359375,2.9059648513793945,4.693359375,,,coding_request,20490837e46d8c1db230,44,44,512,42026553,False,True,True,0,1.2753536671632972,1.2667155542761692,1.151128679761484,1.1496962127404091,1.149958104737199,1.1511286797614837,0.0,26.016009852216747,<=128
req_0102,short_interactive,eager,ok,eos,lmsys_chatbot_arena_conversations,8777c4945d85469d96cd26fc2ea6f64a,b5c07fa4fd709a07ec44,39,39,256,27,5779a83276ad2f0d0c07,1,0,0.10546875,42026102,0.0679419999869423,0.2245839996248833,0.2925259996118257,0.1220479980111122,19.734079360961918,0.0329109998347121,20.59331799955544,459.2862739562988,463.6527049997312,17.664856690626877,17.627568244934082,18.087936878204346,18.16755151748657,17.83101823076112,17.79442499992001,18.25702175028709,18.317946250363093,479.0203533172608,484.24602299928665,56.609573319131904,56.07645489745406,92,2.88515853881836,6.34375,2.8977980613708496,6.34375,2.8871803283691406,6.34375,2.9034910202026367,6.34375,,,short_interactive,flash,ok,eos,lmsys_chatbot_arena_conversations,8777c4945d85469d96cd26fc2ea6f64a,b5c07fa4fd709a07ec44,39,39,256,27,5779a83276ad2f0d0c07,1,0,0.10546875,42026102,0.0952020000113407,0.4510690005190554,0.5462710005303961,0.1209279969334602,17.13257598876953,0.0349600004483363,18.271271999765304,390.0802879333496,394.3309619999127,15.003087997436523,14.899919986724854,15.785727739334106,16.15948796272278,15.165014269244308,15.066591999584489,15.94744525027636,16.313212999648385,407.2128639221192,412.602233999678,66.65294505843485,65.93446243261455,92,2.88515853881836,4.693359375,2.8977980613708496,4.693359375,2.8871803283691406,4.693359375,2.9034910202026367,4.693359375,,,short_interactive,b5c07fa4fd709a07ec44,39,39,256,42026102,True,True,True,0,1.151845430243396,1.1270872657262154,1.1774147224654785,1.1757996342228079,1.1736388780669194,1.1774147224654785,0.0,26.016009852216747,<=128
req_0252,short_interactive,eager,ok,length,lmsys_chatbot_arena_conversations,3d111f75fb704d8fbcf3709cbd7c6063,4be1447294db7481587f,59,59,256,256,b4bf165578e9b5c64557,0,1,1.0,42026252,0.0687410001773969,0.2720459997362923,0.3407869999136892,0.1044479981064796,20.520063400268555,0.0306909996652393,21.42424499925255,4553.605953216553,4595.011730000806,17.85727824790805,17.766399383544922,18.70559310913086,19.42353946685791,18.019508819609246,17.925994000506762,18.86322130003464,19.6024521196523,4574.126016616821,4616.4359750000585,55.99957541777948,55.49496170708476,1030,2.88515853881836,6.34375,2.903432846069336,6.34375,2.893832206726074,6.34375,2.909125804901123,6.34375,,,short_interactive,flash,ok,length,lmsys_chatbot_arena_conversations,3d111f75fb704d8fbcf3709cbd7c6063,4be1447294db7481587f,59,59,256,256,5eaa2464ad8e47f4f661,0,1,1.0,42026252,0.0701320004736771,0.2913759999501053,0.3615080004237825,0.1176320016384124,17.360448837280273,0.0452809999842429,18.31928399951721,3819.98970413208,3858.767669000372,14.980351780910118,14.871552467346191,15.795401668548584,16.237468910217288,15.132290623531684,15.03164600035234,15.952798999842344,16.37925651968544,3837.35015296936,3877.086952999889,66.75410662080232,66.0832736960447,1137,2.88515853881836,4.693359375,2.903432846069336,4.693359375,2.893832206726074,4.693359375,2.909125804901123,4.693359375,,,short_interactive,4be1447294db7481587f,59,59,256,42026252,False,True,True,0,1.1820007416054383,1.1694913949593864,1.192046656118188,1.1907984896607624,1.1906970441888334,1.1920466561181882,0.0,26.016009852216747,<=128
req_0143,short_interactive,eager,ok,length,lmsys_chatbot_arena_conversations,8bb696cd65c1474b891b7b4580095587,ddf8ba3fd0ccae2eb6a0,41,41,256,256,1b1027dcc1fa8acf8a83,0,1,1.0,42026143,0.065371999880881,0.2291640003022621,0.2945360001831432,0.1207680031657219,21.031679153442383,0.0377710002794628,21.906765000494488,4549.7126121521,4591.429967999829,17.842010243733725,17.73142433166504,18.906134223937983,19.442115135192875,18.00546622352889,17.90683299986995,19.077073499738617,19.606479219564797,4570.744291305542,4613.336733000324,56.04749612511904,55.53825317542325,1339,2.88515853881836,6.34375,2.897858142852783,6.34375,2.893351554870605,6.34375,2.9035511016845703,6.34375,,,short_interactive,flash,ok,eos,lmsys_chatbot_arena_conversations,8bb696cd65c1474b891b7b4580095587,ddf8ba3fd0ccae2eb6a0,41,41,256,236,0682ee05c1bf4c987411,1,0,0.921875,42026143,0.0599309996687225,0.21130400000402,0.2712349996727425,0.1361919939517974,16.368640899658203,0.0355110005330061,17.172380000374687,3522.3974142074585,3559.243269000035,14.988925166840248,14.916607856750488,15.7854398727417,16.14936855316162,15.145548378724074,15.070436999849337,15.925978000268517,16.338170699982584,3538.7660551071167,3576.4156490004098,66.71592451554055,66.02527060928402,1166,2.88515853881836,4.693359375,2.897858142852783,4.693359375,2.892817497253418,4.693359375,2.9035511016845703,4.693359375,,,short_interactive,ddf8ba3fd0ccae2eb6a0,41,41,256,42026143,False,False,False,-20,1.2848763243307237,1.2756976610124222,1.1903462086264405,1.1888289399162548,1.289933046314046,1.1903462086264402,0.0,26.016009852216747,<=128
req_0382,knowledge_qa,eager,ok,eos,google_nq_open,train_22700,f98319c37bf4f0f0a928,38,38,128,40,0d4072df95acaa911056,1,0,0.3125,42026382,0.0612710000496008,0.1977550000447081,0.259026000094309,0.1447039991617202,19.57369613647461,0.032151000596059,20.436282000446223,698.0478172302246,705.4818130000058,17.89866198026217,17.96668815612793,18.46737937927246,18.551096229553224,18.088186205134733,18.13595399926271,18.67424809952354,18.76088162043743,717.6215133666992,725.918095000452,55.8700980611151,55.28136839439641,180,2.88515853881836,6.34375,2.8977713584899902,6.34375,2.887500762939453,6.34375,2.9034643173217773,6.34375,,,knowledge_qa,flash,ok,eos,google_nq_open,train_22700,f98319c37bf4f0f0a928,38,38,128,41,d0dd924f7e0076b50975,1,0,0.3203125,42026382,0.069460999839066,0.2307550003024516,0.3002160001415177,0.1822720021009445,16.661151885986328,0.0361510001312126,17.95183600006567,593.6265592575073,599.8870009998427,14.840663981437682,14.727439880371094,15.30432152748108,16.018459539413453,14.996096999993824,14.894433500103332,15.482134600279096,16.221891030227198,610.2877111434937,617.8388369999084,67.382429873136,66.67922447616178,156,2.88515853881836,4.693359375,2.8977713584899902,4.693359375,2.8875274658203125,4.693359375,2.9034643173217773,4.693359375,,,knowledge_qa,f98319c37bf4f0f0a928,38,38,128,42026382,False,False,True,1,1.1748104975225644,1.138395092310974,1.2060553357079813,1.2061929317436517,1.1749311495621626,1.2060553357079813,0.0,26.016009852216747,<=128
req_0994,long_output,eager,ok,eos,lmsys_chatbot_arena_conversations,8d2ebe56941148d6811481488cf465e0,4d8722fc1656ca8747e3,346,346,1024,974,769e9cff776641c4b787,1,0,0.951171875,42026994,0.0716320000719861,0.7368749993474921,0.8085069994194782,0.1177600026130676,31.55660820007324,0.0418709996665711,32.99096099999588,17438.176069259644,17895.82935300041,17.922072013627588,17.81862449645996,18.8520450592041,19.594056167602535,18.392357405960663,18.116071000804368,20.027663000109897,20.59056000041892,17469.732677459717,17928.820314000404,55.79711984415752,54.37020999738507,4269,2.88515853881836,6.34375,2.9923229217529297,6.34375,2.9206862449646,6.34375,2.998015880584717,6.34375,,,long_output,flash,ok,eos,lmsys_chatbot_arena_conversations,8d2ebe56941148d6811481488cf465e0,4d8722fc1656ca8747e3,346,346,1024,600,09e7f76218d0cea89420,1,0,0.5859375,42026994,0.1629230000617099,0.9273489995393902,1.0902719996011,0.1269759982824325,28.882944107055664,0.0451599998996243,30.603412999880675,9007.353717803957,9099.785717000486,15.037318393662696,14.947327613830566,15.847910022735595,16.36072208404541,15.191551913189132,15.097178000360143,16.00484509990565,16.49599406031484,9036.23666191101,9130.389130000369,66.50121875596106,65.82572586087721,2771,2.88515853881836,4.693359375,2.9923229217529297,4.693359375,2.910693645477295,4.693359375,2.998015880584717,4.693359375,,,long_output,4d8722fc1656ca8747e3,346,346,1024,42026994,False,False,True,-374,1.092568959836904,1.0780157428886938,1.191839631538336,1.210696412786677,1.9636425193632114,1.1918396315383357,0.0,26.016009852216747,129-512
req_0421,knowledge_qa,eager,ok,eos,google_nq_open,train_41170,e05506ee8d29a596b593,39,39,128,64,deb2ae57e1853a4c417b,1,0,0.5,42026421,0.0698009998814086,0.2121419993272866,0.2819429992086952,0.1228799968957901,19.84819221496582,0.0372240001524915,22.439551000388747,1116.8307189941406,1221.5366090003954,17.727471730065723,17.65171241760254,18.461049461364745,19.132313308715823,19.388631507931606,19.30906499910634,20.18786699954944,20.978748020443163,1136.6789112091064,1243.976160000784,56.4096231671888,51.57438552050765,256,2.88515853881836,6.34375,2.8977980613708496,6.34375,2.888168334960937,6.34375,2.9034910202026367,6.34375,,,knowledge_qa,flash,ok,eos,google_nq_open,train_41170,e05506ee8d29a596b593,39,39,128,127,3b399729f2bb7def4db0,1,0,0.9921875,42026421,0.0598710003032465,0.1956639998752507,0.2555350001784973,0.1155840009450912,16.814655303955078,0.0341109998771571,17.663989999164187,1875.445534706116,1895.709486000669,14.884488370683458,14.782464027404783,15.809391975402832,16.557823657989502,15.044984563491964,14.952159999666035,15.999218750494038,16.722813999876962,1892.2601900100708,1913.373475999833,67.18403582951522,66.46588041600143,562,2.88515853881836,4.693359375,2.8977980613708496,4.693359375,2.8898515701293945,4.693359375,2.9034910202026367,4.693359375,,,knowledge_qa,e05506ee8d29a596b593,39,39,128,42026421,False,False,True,63,1.1804102942447596,1.270355735111406,1.1910030958794535,1.288710628190334,0.6501481156734151,1.191003095879454,0.0,26.016009852216747,<=128
req_0434,knowledge_qa,eager,ok,eos,google_nq_open,train_82738,36445dfac2e682666f9f,40,40,128,29,5820fa8369914920a56e,1,0,0.2265625,42026434,0.0828219999675639,0.2631370007293299,0.3459590006968938,0.1157120019197464,20.488191604614254,0.0377010001102462,23.209187999782444,504.70774269104,551.7949650002265,18.02527652468,17.974672317504883,18.848774909973145,19.39665958404541,19.705485821434973,19.647045499823435,20.590294999738035,21.18975123008568,525.1959342956543,575.004153000009,55.47765098808951,50.74348585255486,91,2.88515853881836,6.34375,2.897824764251709,6.34375,2.8872604370117188,6.34375,2.903517723083496,6.34375,,,knowledge_qa,flash,ok,eos,google_nq_open,train_82738,36445dfac2e682666f9f,40,40,128,52,c457563422fc21570336,1,0,0.40625,42026434,0.0636610002402449,0.211313999898266,0.2749750001385109,0.1484799981117248,16.503999710083008,0.0363700000889366,17.44040599987784,777.2443857192993,785.5775939997329,15.240085994496065,14.70361614227295,16.092592239379883,26.441216468811035,15.402582999990509,14.864732999740228,16.264592999505112,26.6679540000041,793.7483854293823,803.0179999996108,65.6164276475309,64.92038519115063,169,2.88515853881836,4.693359375,2.897824764251709,4.693359375,2.8878746032714844,4.693359375,2.903517723083496,4.693359375,,,knowledge_qa,36445dfac2e682666f9f,40,40,128,42026434,False,False,True,23,1.2414076565995775,1.3307710841103706,1.1827542529084023,1.2793624174235656,0.7160538779956211,1.1827542529084023,0.0,26.016009852216747,<=128
req_0105,short_interactive,eager,ok,eos,lmsys_chatbot_arena_conversations,30ee691dace142cdb5ce8154de53f1d0,0c7aaaad5cb71e4a40e0,39,39,256,112,0fe321904af79e88607b,1,0,0.4375,42026105,0.0745669995012576,0.2736340002229553,0.348200999724213,0.1187520027160644,19.501440048217773,0.0411999999414547,22.449842000241915,1985.6069946289065,2172.1172570005365,17.88835130296312,17.83020782470703,18.66873550415039,19.325874900817876,19.56819528828697,19.508770999891567,20.409954499882588,21.12714659970152,2005.108434677124,2194.5670990007784,55.90230105970441,51.10221358550377,632,2.88515853881836,6.34375,2.8977980613708496,6.34375,2.889451026916504,6.34375,2.9034910202026367,6.34375,,,short_interactive,flash,ok,eos,lmsys_chatbot_arena_conversations,30ee691dace142cdb5ce8154de53f1d0,0c7aaaad5cb71e4a40e0,39,39,256,125,47d40db102f17dab4e89,1,0,0.48828125,42026105,0.066800999775296,0.2319550003448967,0.2987560001201927,0.1085439994931221,17.179712295532227,0.0341900004059425,18.04649900077493,1854.1243877410889,1874.5365939994367,14.952616030170072,14.875616073608398,15.703217601776124,16.425262756347653,15.116826233870304,15.037616999961756,15.862388000050489,16.60616154004856,1871.304100036621,1892.583093000212,66.87792945276519,66.14968221849354,790,2.88515853881836,4.693359375,2.8977980613708496,4.693359375,2.889798164367676,4.693359375,2.9034910202026367,4.693359375,,,short_interactive,0c7aaaad5cb71e4a40e0,39,39,256,42026105,False,False,True,13,1.1351435759078072,1.243999847243385,1.196335896465848,1.2944645248645554,1.1595618216803611,1.1963358964658477,0.0,26.016009852216747,<=128
req_0148,short_interactive,eager,ok,eos,lmsys_chatbot_arena_conversations,ad9017c1ade643888d09d6c9441215c0,3d0728a2633305073da0,42,42,256,173,d489fcd735b141b512b1,1,0,0.67578125,42026148,0.0682619993312982,0.2375359999859938,0.3057979993172921,0.1218559965491294,19.186687469482425,0.0347760005752206,21.7333550008334,3047.809202194214,3333.84604999992,17.719820942989614,17.575807571411133,18.71377210617065,19.517559299468992,19.38250722674257,19.23842549967958,20.467123499838635,21.332799669971788,3066.9958896636963,3355.579405000753,56.43397883180213,51.59206436662068,937,2.88515853881836,6.34375,2.898167610168457,6.34375,2.8911609649658203,6.34375,2.903860569000244,6.34375,,,short_interactive,flash,ok,eos,lmsys_chatbot_arena_conversations,ad9017c1ade643888d09d6c9441215c0,3d0728a2633305073da0,42,42,256,144,699027af9f075b66881d,1,0,0.5625,42026148,0.0674109996907645,0.2436949998809723,0.3111059995717369,0.1054079979658126,17.318912506103516,0.0319500004479778,18.181241000093,2136.221984863281,2159.1543369995634,14.938615278764203,14.879743576049805,15.805350208282473,16.34147846221924,15.098631790211725,15.021535000414588,15.966212999683194,16.489273180122836,2153.5408973693848,2177.3355779996564,66.94060870698887,66.22963331038105,778,2.88515853881836,4.693359375,2.898167610168457,4.693359375,2.890385627746582,4.693359375,2.903860569000244,4.693359375,,,short_interactive,3d0728a2633305073da0,42,42,256,42026148,False,False,True,-29,1.1078459725875207,1.1953724721388508,1.1861756001025743,1.283726068431448,1.5411402077412262,1.1861756001025743,0.0,26.016009852216747,<=128
