run,backend,model,world,stage,tp,pp,steps,median_step_seconds,p95_step_seconds,tokens_per_second,max_rank_peak_allocated_gib,max_rank_peak_reserved_gib
formal-v3-megatron-w4-tp1-pp4-b0,megatron,qwen7b,4,,1,4,100,1.2346853399649262,1.2370426481589676,6637.717058576433,44.70029640197754,48.59765625
formal-v3-megatron-w4-tp1-pp4-b1,megatron,qwen7b,4,,1,4,100,1.23469668161124,1.239539060043171,6635.553297089195,44.70322608947754,48.59765625
formal-v3-megatron-w4-tp1-pp4-b2,megatron,qwen7b,4,,1,4,100,1.234683133661747,1.2372038975823672,6637.654707814753,44.70224952697754,48.58203125
formal-v3-megatron-w4-tp2-pp2-b0,megatron,qwen7b,4,,2,2,100,1.304257942829281,1.310131475236267,6279.007423867276,39.154218673706055,41.689453125
formal-v3-megatron-w4-tp2-pp2-b1,megatron,qwen7b,4,,2,2,100,1.3216750617139041,1.332015324383974,6196.9031831611765,39.152509689331055,41.677734375
formal-v3-megatron-w4-tp2-pp2-b2,megatron,qwen7b,4,,2,2,100,1.328334885649383,1.3337163316551597,6169.827037763559,39.155683517456055,41.689453125
formal-v3-megatron-w4-tp4-pp1-b0,megatron,qwen7b,4,,4,1,100,1.7218391140922904,1.7457232267130167,4749.663925799224,39.118181228637695,40.216796875
formal-v3-megatron-w4-tp4-pp1-b1,megatron,qwen7b,4,,4,1,100,1.8240603269077837,1.8797620365396142,4463.612267927401,39.118669509887695,40.21484375
formal-v3-megatron-w4-tp4-pp1-b2,megatron,qwen7b,4,,4,1,100,1.8336678044870496,1.9025479395873846,4450.612907058259,39.118669509887695,40.21875
formal-v3-zero-w2-s3-b0,zero,qwen7b,2,3,,,100,3.157230807468295,3.2977800778113306,2577.816007768928,68.25657892227173,75.8671875
formal-v3-zero-w2-s3-b1,zero,qwen7b,2,3,,,100,3.11045871861279,3.298219634639099,2598.3828582782826,68.25657892227173,75.8671875
formal-v3-zero-w2-s3-b2,zero,qwen7b,2,3,,,100,3.2396650831215084,3.4115173374768344,2510.5928643890184,68.25657892227173,75.8671875
formal-v3-zero-w4-s1-b0,zero,qwen7b,4,1,,,100,1.0019161235541105,1.003861063765362,8175.750268611558,56.75701093673706,73.083984375
formal-v3-zero-w4-s1-b1,zero,qwen7b,4,1,,,100,1.0019935499876738,1.0045588097069413,8174.621769095466,56.75701093673706,73.083984375
formal-v3-zero-w4-s1-b2,zero,qwen7b,4,1,,,100,1.001711354125291,1.0048087101895362,8174.1964343791815,56.75701093673706,73.083984375
formal-v3-zero-w4-s2-b0,zero,qwen7b,4,2,,,100,1.4007594515569508,1.4033964333124458,5848.950234274723,56.75701093673706,67.99609375
formal-v3-zero-w4-s2-b1,zero,qwen7b,4,2,,,100,1.3997436738573015,1.4025822433177382,5852.750269823626,56.75701093673706,67.99609375
formal-v3-zero-w4-s2-b2,zero,qwen7b,4,2,,,100,1.4003176307305694,1.402500008000061,5851.367180670401,56.75701093673706,67.99609375
formal-v3-zero-w4-s3-b0,zero,qwen7b,4,3,,,100,1.6426401119679213,1.8202367869205773,4904.566728619846,39.772815227508545,57.81640625
formal-v3-zero-w4-s3-b1,zero,qwen7b,4,3,,,100,1.6396737447939813,1.897369645629078,4875.063869809088,39.772815227508545,57.81640625
formal-v3-zero-w4-s3-b2,zero,qwen7b,4,3,,,100,1.6801770073361695,1.8754442467354235,4802.220296704811,39.772815227508545,57.81640625
