timestamp, index, name, temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%]
2026/09/10 08:35:57.091, 0, NVIDIA A100-SXM4-80GB, 35, 89.57 W, 1140 MHz, 1593 MHz, 15804 MiB, 7 %
2026/09/10 08:35:57.094, 1, NVIDIA A100-SXM4-80GB, 36, 87.81 W, 1140 MHz, 1593 MHz, 15804 MiB, 7 %
2026/09/10 08:35:57.098, 2, NVIDIA A100-SXM4-80GB, 33, 65.98 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:35:57.099, 3, NVIDIA A100-SXM4-80GB, 31, 67.69 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:35:59.102, 0, NVIDIA A100-SXM4-80GB, 35, 89.57 W, 1140 MHz, 1593 MHz, 15804 MiB, 7 %
2026/09/10 08:35:59.103, 1, NVIDIA A100-SXM4-80GB, 36, 87.90 W, 1140 MHz, 1593 MHz, 15804 MiB, 7 %
2026/09/10 08:35:59.103, 2, NVIDIA A100-SXM4-80GB, 33, 66.05 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:35:59.103, 3, NVIDIA A100-SXM4-80GB, 31, 67.69 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:36:01.104, 0, NVIDIA A100-SXM4-80GB, 35, 89.24 W, 1140 MHz, 1593 MHz, 15804 MiB, 7 %
2026/09/10 08:36:01.146, 1, NVIDIA A100-SXM4-80GB, 36, 87.90 W, 1140 MHz, 1593 MHz, 15804 MiB, 7 %
2026/09/10 08:36:01.146, 2, NVIDIA A100-SXM4-80GB, 33, 66.05 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:36:01.146, 3, NVIDIA A100-SXM4-80GB, 31, 67.69 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:36:03.146, 0, NVIDIA A100-SXM4-80GB, 35, 89.57 W, 1140 MHz, 1593 MHz, 15804 MiB, 7 %
2026/09/10 08:36:03.153, 1, NVIDIA A100-SXM4-80GB, 36, 87.81 W, 1140 MHz, 1593 MHz, 15804 MiB, 7 %
2026/09/10 08:36:03.159, 2, NVIDIA A100-SXM4-80GB, 33, 65.98 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
2026/09/10 08:36:03.165, 3, NVIDIA A100-SXM4-80GB, 31, 67.69 W, 210 MHz, 1593 MHz, 4 MiB, 0 %
