configured_lambda_req_s,realized_lambda_req_s,realized_rho,workload_category,n,queue_p50_ms,queue_p95_ms,client_ttft_p50_ms,client_ttft_p95_ms,client_e2e_p50_ms,tpot_p50_ms
0.17,0.14684643446064538,0.44268432031708127,coding_request,18,0.1960290001079556,6041.248321699731,270.2770900014002,6119.1904173503635,5660.976382500849,15.307293572801113
0.17,0.14684643446064538,0.44268432031708127,document_qa,18,0.20532950020424315,8587.095163100003,407.6068819995271,8728.194040749804,1792.5728410000374,15.32455705353283
0.17,0.14684643446064538,0.44268432031708127,knowledge_qa,24,1132.7033640000082,20511.27927919915,1190.6010840011731,20564.0474028999,2774.35789250012,15.231525774169874
0.17,0.14684643446064538,0.44268432031708127,long_context_qa,12,0.2420800001345924,9179.147495849244,584.7373245005656,9481.304520349837,2395.5478349998884,15.347477629653408
0.17,0.14684643446064538,0.44268432031708127,long_output,12,3830.8260314997824,16858.584648600383,3885.076091999508,16918.98253615108,13491.647734999788,15.216690263743475
0.17,0.14684643446064538,0.44268432031708127,short_interactive,36,0.199714500013215,6217.498469499333,270.61705500091193,6272.683248249905,3652.135571999679,15.226257267835013
0.25,0.21595063891271388,0.6510063534074727,coding_request,18,4398.041945500154,14303.93336259858,4451.82248150013,14363.62576864958,10672.981815499952,15.729820966254008
0.25,0.21595063891271388,0.6510063534074727,document_qa,18,430.85533850171487,22921.647826898698,660.1980510022258,23095.894215247972,2257.314813999983,15.54845739949134
0.25,0.21595063891271388,0.6510063534074727,knowledge_qa,24,3750.4286709990993,34816.51444380001,3807.6233315005084,34872.27853245056,5832.160513500639,16.014017780934733
0.25,0.21595063891271388,0.6510063534074727,long_context_qa,12,4299.194108001757,13395.46595705251,4596.7799379995995,13712.629272699449,5474.333092499364,15.443660801735478
0.25,0.21595063891271388,0.6510063534074727,long_output,12,5207.492689500214,27746.83713755093,5267.32374400126,27818.384332701127,21314.73964900033,16.205630697639293
0.25,0.21595063891271388,0.6510063534074727,short_interactive,36,1403.2471975006047,15558.473108001635,1583.6004684988438,15618.378076500449,4377.90182849858,15.643778149345753
0.31,0.26777879225176515,0.807247878225266,coding_request,18,9963.067184000465,18601.738700799797,10027.086627002063,18667.65358560133,15597.502180000447,15.336343576138523
0.31,0.26777879225176515,0.807247878225266,document_qa,18,5241.910930502854,27029.34285010142,5409.741846498946,27209.230268397914,6187.4830665001355,15.43272704210612
0.31,0.26777879225176515,0.807247878225266,knowledge_qa,24,9246.417681000821,33695.64125199738,9306.546384499597,33748.49560669843,11708.975429999555,15.247993611913966
0.31,0.26777879225176515,0.807247878225266,long_context_qa,12,8376.203574998726,16887.812027201107,8661.691500499728,17185.348211399105,9298.552422500507,15.39354616233927
0.31,0.26777879225176515,0.807247878225266,long_output,12,9885.520753499804,29127.74466914834,9944.359813998744,29195.49083270012,21602.85879249932,15.624885364781669
0.31,0.26777879225176515,0.807247878225266,short_interactive,36,4499.657059499441,19738.92023750068,4555.276857499848,19792.006834001768,7546.29343599845,15.346104970128481
0.35,0.3023308944777995,0.9114088947704619,coding_request,18,9435.063900999012,22228.98686380212,9493.91743849992,22295.779315950673,16475.53432049972,15.35762340214795
0.35,0.3023308944777995,0.9114088947704619,document_qa,18,10404.737481499978,32883.40406754942,10573.947679498815,33052.70291070083,11389.780678498937,15.626264553488978
0.35,0.3023308944777995,0.9114088947704619,knowledge_qa,24,12652.33094749965,34739.787070602484,12712.286842997855,34789.60684625051,14467.918607499087,15.258685607609788
0.35,0.3023308944777995,0.9114088947704619,long_context_qa,12,11381.757212000593,18866.553391001067,11675.173807001556,19181.652253948774,12650.699493500724,15.486640382676104
0.35,0.3023308944777995,0.9114088947704619,long_output,12,10635.726627499025,32612.131853250503,10697.123461999581,32676.521580350345,23330.72320300016,15.425843267260966
0.35,0.3023308944777995,0.9114088947704619,short_interactive,36,6073.057871000856,22665.123519500416,6135.817383999893,22725.013976749324,8964.990747499542,15.353320215262617
0.4,0.3455210222603422,1.0416101654519563,coding_request,18,16673.632190000717,28367.918481201734,16739.001063000615,28424.531209249464,20153.17192600014,15.303994297281402
0.4,0.3455210222603422,1.0416101654519563,document_qa,18,17031.419165999978,37172.99633400271,17187.936064501628,37347.71451269826,18520.891421998385,15.227907299426107
0.4,0.3455210222603422,1.0416101654519563,knowledge_qa,24,14476.96382650247,36195.64660509966,14535.176940498786,36258.93096005091,16102.99638649849,15.13704176565901
0.4,0.3455210222603422,1.0416101654519563,long_context_qa,12,18112.978040002417,25023.45083239834,18468.36856649861,25326.921272651816,19732.534666500214,15.239469895737063
0.4,0.3455210222603422,1.0416101654519563,long_output,12,11542.60214649912,35018.142614198405,11601.644609998402,35074.13099740188,22648.11435450065,15.287846632535551
0.4,0.3455210222603422,1.0416101654519563,short_interactive,36,14567.236966000564,24747.87257800017,14629.21903949973,24805.241262251006,15756.767416500224,15.141643160761173
