configured_lambda_req_s,realized_lambda_req_s,request_id,workload_category,ttft_ms,mean_content_event_itl_ms,e2e_ms,output_tokens,ttft_slo_pass,itl_slo_pass,overall_slo_pass
0.4,0.3455210222603422,req_0675,document_qa,72.0865280018188,7.8148983000573935,541.2149210023927,60,1,1,1
0.4,0.3455210222603422,req_0968,long_output,16.813412999908905,8.246881473301066,5732.136119004281,693,1,1,1
0.4,0.3455210222603422,req_0167,short_interactive,27.01902099943254,10.38353761957652,982.6045890004025,92,1,1,1
0.4,0.3455210222603422,req_0846,long_context_qa,224.97872800158802,8.426327818200331,688.6470120007289,55,1,1,1
0.4,0.3455210222603422,req_0446,knowledge_qa,22.784192995459307,8.184776039058761,1070.6689709986676,128,1,1,1
0.4,0.3455210222603422,req_0407,knowledge_qa,120.74714699701872,8.351489741941013,897.6184659986757,93,1,1,1
0.4,0.3455210222603422,req_0162,short_interactive,14.708351001900155,7.670489825411803,498.17780400189804,63,1,1,1
0.4,0.3455210222603422,req_0638,coding_request,18.57946800009813,7.8437362927471055,2724.991276001674,345,1,1,1
0.4,0.3455210222603422,req_0895,long_context_qa,34.778858003846835,8.625331905109206,1216.7915559984976,137,1,1,1
0.4,0.3455210222603422,req_0233,short_interactive,25.628151997807436,8.261239386712305,2140.7487799951923,256,1,1,1
0.4,0.3455210222603422,req_0703,document_qa,99.90433500206564,8.22266604063031,1111.5369530016324,123,1,1,1
0.4,0.3455210222603422,req_0356,knowledge_qa,241.19940899981884,8.20566002667571,856.9134069985012,75,1,1,1
0.4,0.3455210222603422,req_0429,knowledge_qa,14.183038998453412,7.693850136849123,745.3421470054309,95,1,1,1
0.4,0.3455210222603422,req_0855,long_context_qa,214.64678000484128,8.012386511694558,2266.042221999669,256,1,1,1
0.4,0.3455210222603422,req_0099,short_interactive,36.97597299469635,8.085677296890026,2107.136194994382,256,1,1,1
0.4,0.3455210222603422,req_0175,short_interactive,236.39667299721623,8.98608104444402,1449.8085300001549,135,1,1,1
0.4,0.3455210222603422,req_0093,short_interactive,320.94978500390425,8.213615759207945,1208.316702999582,108,0,1,0
0.4,0.3455210222603422,req_0426,knowledge_qa,23.725423001451418,8.071571153824408,653.5021169984248,78,1,1,1
0.4,0.3455210222603422,req_0960,long_output,29.254155997477937,8.115355859760827,3559.8929949992453,435,1,1,1
0.4,0.3455210222603422,req_0953,long_output,26.919297000858933,7.955180354493052,8173.265944999002,1024,1,1,1
0.4,0.3455210222603422,req_0155,short_interactive,13.496054001734592,8.05617067970843,2076.130423003633,256,1,1,1
0.4,0.3455210222603422,req_0504,coding_request,26.204362999123987,8.183748533338076,1499.49512299645,180,1,1,1
