concurrency,input_tokens_per_request,output_tokens_per_request,total_input_tokens,total_output_tokens,batch_makespan_s,request_throughput_rps,output_throughput_tps,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,e2e_p50_ms,e2e_p95_ms,mean_content_event_itl_p50_ms,mean_content_event_itl_p95_ms,max_kv_usage,max_running,max_waiting,max_waiting_capacity,samples_with_capacity_waiting,capacity_waiting_sample_fraction,preemptions_delta,metrics_samples,label,repeat,kv_cache_memory_bytes,kv_cache_size_tokens,kv_cache_max_concurrency,kv_pool_gib,max_kv_usage_pct,capacity_waiting_sample_fraction_pct
8,32640,128,261120,1024,11.68646620027721,0.6845525296440969,87.6227237944444,5697.653387207538,10302.070402400568,10727.819807240738,11377.756997477263,11645.857270853594,44.72050779887776,74.08865065805203,0.10502793296089385,8.0,7.0,7.0,151,0.7704081632653061,0.0,196,baseline_66p54GiB,1,71442297140,2491696,76.04052734375,66.53582410886884,10.502793296089386,77.04081632653062
8,32640,128,261120,1024,11.734693177975714,0.6817391710773332,87.26261389789865,5726.111709605902,10347.97112424858,10776.034076074136,11426.272050943226,11692.201921436936,44.87771360482287,74.38998194044734,0.10502793296089385,8.0,7.0,7.0,152,0.7755102040816326,0.0,196,baseline_66p54GiB,2,71442297140,2491696,76.04052734375,66.53582410886884,10.502793296089386,77.55102040816327
8,32640,128,261120,1024,11.794958658516407,0.6782558745319295,86.81675194008697,5756.636733189225,10391.766197932884,10821.432366212828,11482.25859599188,11739.265384990722,45.0791651639706,74.70876635052262,0.10502793296089385,8.0,7.0,7.0,152,0.7715736040609137,0.0,197,baseline_66p54GiB,3,71442297140,2491696,76.04052734375,66.53582410886884,10.502793296089386,77.15736040609137
8,32640,128,261120,1024,11.824728342704475,0.6765483119902518,86.59818393475223,5777.528438251466,10431.976472958922,10863.16657178104,11515.673238318413,11782.07144094631,45.17848945523458,74.93318435626001,0.10502793296089385,8.0,7.0,7.0,152,0.7715736040609137,0.0,197,baseline_66p54GiB,4,71442297140,2491696,76.04052734375,66.53582410886884,10.502793296089386,77.15736040609137
8,32640,128,261120,1024,11.81969250086695,0.6768365589386709,86.63507954414987,5772.141114342958,10428.082776488736,10860.017615789548,11511.211495380849,11779.534520814195,45.18460445692689,74.96340264104248,0.10502793296089385,8.0,7.0,7.0,151,0.7704081632653061,0.0,196,baseline_66p54GiB,5,71442297140,2491696,76.04052734375,66.53582410886884,10.502793296089386,77.04081632653062
8,32640,128,261120,1024,11.752681665122509,0.6806957108130444,87.12905098406968,5735.748965293169,10363.987945113331,10792.97707306221,11442.779838573188,11709.036266058683,44.933850733988635,74.55347676790781,0.4991607409894101,8.0,7.0,7.0,153,0.7766497461928934,0.0,197,kv_14GiB,1,15032385536,524288,16.0,14.0,49.91607409894101,77.66497461928934
8,32640,128,261120,1024,11.785976320505142,0.6787727874594205,86.88291679480582,5747.604712378234,10395.71401742287,10825.13689377345,11476.913982536644,11743.720860593021,45.11034790807821,74.79205884068735,0.4991607409894101,8.0,7.0,7.0,153,0.7766497461928934,0.0,197,kv_14GiB,2,15032385536,524288,16.0,14.0,49.91607409894101,77.66497461928934
8,32640,128,261120,1024,11.833569334819913,0.6760428551730581,86.53348546215143,5774.730489123613,10441.6027483996,10874.22233457677,11523.592315148562,11789.960403274745,45.26340475261915,75.0663844670543,0.4991607409894101,8.0,7.0,7.0,153,0.7766497461928934,0.0,197,kv_14GiB,3,15032385536,524288,16.0,14.0,49.91607409894101,77.66497461928934
8,32640,128,261120,1024,11.848053649067879,0.6752163888647975,86.42769777469408,5785.0402924232185,10451.100954366848,10883.315298249945,11537.597320973873,11803.853945154697,45.292371421993714,75.17608458828914,0.4991607409894101,8.0,7.0,7.0,154,0.7777777777777778,0.0,198,kv_14GiB,4,15032385536,524288,16.0,14.0,49.91607409894101,77.77777777777779
8,32640,128,261120,1024,11.850028132088482,0.6751038825247124,86.41329696316319,5783.839006442577,10451.735871564597,10883.737476672977,11534.825453069061,11805.784086929634,45.278590861854596,75.17142995282654,0.4991607409894101,8.0,7.0,7.0,153,0.7766497461928934,0.0,197,kv_14GiB,5,15032385536,524288,16.0,14.0,49.91607409894101,77.66497461928934
8,32640,128,261120,1024,11.757573611102998,0.6804124953506888,87.09279940488817,5722.780985757709,10358.379965508357,10788.249463187529,11442.400513682514,11702.023918088526,45.03288604025766,74.65436795183757,0.8984838497033619,8.0,7.0,7.0,152,0.7755102040816326,0.0,196,kv_7p78GiB,1,8351580160,291280,8.88916015625,7.77801513671875,89.8483849703362,77.55102040816327
8,32640,128,261120,1024,11.800751643255353,0.6779229189669753,86.77413362777284,5756.906901020557,10408.815303537995,10839.656392056495,11490.882322657853,11757.67908548005,45.145479085906516,74.83664286344892,0.8984838497033619,8.0,7.0,7.0,154,0.7777777777777778,0.0,198,kv_7p78GiB,2,8351580160,291280,8.88916015625,7.77801513671875,89.8483849703362,77.77777777777779
8,32640,128,261120,1024,11.83761646412313,0.6758117247881792,86.50390077288694,5777.100760489702,10446.654465608299,10879.048354290426,11529.078886378556,11795.09363961406,45.28551466953684,75.15815919316483,0.8984838497033619,8.0,7.0,7.0,153,0.7806122448979592,0.0,196,kv_7p78GiB,3,8351580160,291280,8.88916015625,7.77801513671875,89.8483849703362,78.06122448979592
8,32640,128,261120,1024,11.850057997740805,0.6751021810631802,86.41307917608707,5781.962362118065,10450.106527516618,10882.53576231189,11534.88324675709,11804.31996951811,45.295239345529886,75.16638546683421,0.8984838497033619,8.0,7.0,7.0,153,0.7727272727272727,0.0,198,kv_7p78GiB,4,8351580160,291280,8.88916015625,7.77801513671875,89.8483849703362,77.27272727272727
8,32640,128,261120,1024,11.871856743469834,0.6738625787748352,86.25441008317891,5790.914225857705,10468.821539962664,10901.613616840914,11553.728602826595,11826.387368747965,45.37249073078196,75.29980603671507,0.8984838497033619,8.0,7.0,7.0,154,0.7777777777777778,0.0,198,kv_7p78GiB,5,8351580160,291280,8.88916015625,7.77801513671875,89.8483849703362,77.77777777777779
8,32640,128,261120,1024,11.761268836446106,0.680198719309043,87.0654360715575,5738.751243799925,10373.209962062538,10801.956010870634,11452.485259622335,11718.947065807879,44.98535156337999,74.61606080526501,0.9983519501922725,8.0,7.0,7.0,152,0.7755102040816326,0.0,196,kv_7GiB,1,7516192768,262144,8.0,7.0,99.83519501922726,77.55102040816327
8,32640,128,261120,1024,11.800279773771763,0.6779500277426841,86.77760355106356,5758.064695168287,10408.714583748952,10839.382119970396,11490.49802776426,11757.760184863582,45.13308413576071,74.85602953449242,0.9983519501922725,8.0,7.0,7.0,152,0.7755102040816326,0.0,196,kv_7GiB,2,7516192768,262144,8.0,7.0,99.83519501922726,77.55102040816327
8,32640,128,261120,1024,11.83841784670949,0.6757659768043763,86.49804503096017,5780.878140591085,10450.861733220518,10883.44895388931,11529.410426970571,11795.719577744603,45.61955958885687,75.81563840088035,0.9983519501922725,8.0,7.0,7.0,152,0.7715736040609137,0.0,197,kv_7GiB,3,7516192768,262144,8.0,7.0,99.83519501922726,77.15736040609137
8,32640,128,261120,1024,11.840913685038686,0.6756235382501112,86.47981289601424,5782.619630917907,10445.726954797283,10877.514779092744,11529.741862323135,11796.792139392346,45.2480153803985,75.11713976099148,0.9983519501922725,8.0,7.0,7.0,154,0.7777777777777778,0.0,198,kv_7GiB,4,7516192768,262144,8.0,7.0,99.83519501922726,77.77777777777779
8,32640,128,261120,1024,11.845803400501609,0.6753446540959173,86.44411572427741,5780.67358629778,10447.015465795994,10878.242761939764,11531.165849417448,11801.388536207378,45.27562920473457,75.15878752900625,0.9983519501922725,8.0,7.0,7.0,153,0.7727272727272727,0.0,198,kv_7GiB,5,7516192768,262144,8.0,7.0,99.83519501922726,77.27272727272727
8,32640,128,261120,1024,11.86151632387191,0.674450026587207,86.3296034031625,5734.323112294078,10506.111940136178,10996.291778562589,11401.19363553822,11765.029921988025,44.61409995244361,67.17148670582027,0.906184718617459,7.0,7.0,7.0,159,0.803030303030303,0.0,198,kv_6p75GiB,1,7247757312,252768,7.7138671875,6.75,90.6184718617459,80.3030303030303
8,32640,128,261120,1024,11.904211675748229,0.6720310607629687,86.01997577766,5758.6102145724,10543.053939891977,11035.22110058926,11439.966307021677,11807.730199955404,44.732097928654255,67.4284375500022,0.906184718617459,7.0,7.0,7.0,159,0.7989949748743719,0.0,199,kv_6p75GiB,2,7247757312,252768,7.7138671875,6.75,90.6184718617459,79.89949748743719
8,32640,128,261120,1024,11.951056346297264,0.6693968941480725,85.68280245095328,5780.272308271378,10580.39650833234,11071.454812865704,11481.264892965555,11842.460789252073,45.24250277909376,68.18806138370067,0.906184718617459,7.0,7.0,7.0,160,0.8,0.0,200,kv_6p75GiB,3,7247757312,252768,7.7138671875,6.75,90.6184718617459,80.0
8,32640,128,261120,1024,11.941772289574146,0.6699173126073137,85.74941601373615,5778.349650092423,10579.206864070145,11072.086917366832,11476.684181019664,11846.44720214419,44.8647883104703,67.66193242941608,0.906184718617459,7.0,7.0,7.0,159,0.803030303030303,0.0,198,kv_6p75GiB,4,7247757312,252768,7.7138671875,6.75,90.6184718617459,80.3030303030303
8,32640,128,261120,1024,11.951978865079582,0.6693452264523171,85.67618898589659,5786.001477390528,10584.434763994066,11078.074579965323,11487.337807193398,11852.740361820906,44.88857183972095,67.71667441866529,0.906184718617459,7.0,7.0,7.0,160,0.8,0.0,200,kv_6p75GiB,5,7247757312,252768,7.7138671875,6.75,90.6184718617459,80.0
