concurrency,metric,vllm_median,sglang_median,sglang_vs_vllm_pct,winner
1,output_throughput_tps,226.5,257.49,13.682119205298017,sglang
1,request_throughput_rps,1.77,2.01,13.559322033898292,sglang
1,median_e2e_ms,564.46,495.1,-12.287850334833294,sglang
1,p95_e2e_ms,568.54,498.58,-12.30520280015478,sglang
1,p99_e2e_ms,569.42,499.52,-12.275648905904252,sglang
1,median_ttft_ms,25.43,23.3,-8.37593393629571,sglang
1,p95_ttft_ms,30.4,27.82,-8.486842105263152,sglang
1,p99_ttft_ms,31.36,28.61,-8.769132653061225,sglang
1,median_tpot_ms,4.24,3.71,-12.500000000000005,sglang
1,p95_tpot_ms,4.25,3.72,-12.470588235294112,sglang
1,p99_tpot_ms,4.25,3.72,-12.470588235294112,sglang
1,median_itl_ms,4.24,3.71,-12.500000000000005,sglang
1,p95_itl_ms,4.55,4.08,-10.329670329670323,sglang
1,p99_itl_ms,4.91,7.47,52.13849287169042,vllm
1,max_itl_ms,12.79,8.27,-35.340109460516025,sglang
8,output_throughput_tps,1756.46,1815.73,3.3744007833938707,sglang
8,request_throughput_rps,13.72,14.19,3.4256559766763766,sglang
8,median_e2e_ms,579.49,559.5,-3.449584979896117,sglang
8,p95_e2e_ms,593.78,562.07,-5.3403617501431375,sglang
8,p99_e2e_ms,594.93,562.45,-5.459465819508162,sglang
8,median_ttft_ms,67.55,79.65,17.91265729089565,vllm
8,p95_ttft_ms,97.76,93.08,-4.787234042553198,sglang
8,p99_ttft_ms,98.54,375.35,280.91130505378527,vllm
8,median_tpot_ms,4.08,3.79,-7.1078431372549025,sglang
8,p95_tpot_ms,4.22,4.13,-2.132701421800945,sglang
8,p99_tpot_ms,4.47,4.15,-7.158836689038019,sglang
8,median_itl_ms,3.89,3.69,-5.141388174807203,sglang
8,p95_itl_ms,4.32,4.11,-4.86111111111111,sglang
8,p99_itl_ms,7.3,7.47,2.3287671232876703,vllm
8,max_itl_ms,32.45,57.8,78.1201848998459,vllm
32,output_throughput_tps,4832.48,4852.46,0.41345230606232153,sglang
32,request_throughput_rps,37.75,37.91,0.42384105960263996,sglang
32,median_e2e_ms,841.95,833.93,-0.9525506265217762,sglang
32,p95_e2e_ms,892.27,848.5,-4.905465834332655,sglang
32,p99_e2e_ms,940.27,850.23,-9.575972858859686,sglang
32,median_ttft_ms,165.83,220.54,32.99161792196827,vllm
32,p95_ttft_ms,276.9,300.8,8.631274828457942,vllm
32,p99_ttft_ms,310.38,521.27,67.94574392679941,vllm
32,median_tpot_ms,5.32,4.81,-9.586466165413547,sglang
32,p95_tpot_ms,6.13,5.91,-3.5889070146818884,sglang
32,p99_tpot_ms,6.54,6.06,-7.33944954128441,sglang
32,median_itl_ms,4.4,4.21,-4.318181818181826,sglang
32,p95_itl_ms,8.35,4.95,-40.71856287425149,sglang
32,p99_itl_ms,33.9,12.52,-63.06784660766962,sglang
32,max_itl_ms,100.18,244.81,144.37013375923337,vllm
64,output_throughput_tps,6692.62,6921.83,3.424817186692208,sglang
64,request_throughput_rps,52.29,54.08,3.423216676228723,sglang
64,median_e2e_ms,1209.1,1167.51,-3.439748573318991,sglang
64,p95_e2e_ms,1320.9,1192.51,-9.719887955182081,sglang
64,p99_e2e_ms,1402.88,1194.05,-14.885806341240885,sglang
64,median_ttft_ms,282.62,395.66,39.99716934399547,vllm
64,p95_ttft_ms,506.31,565.62,11.714167209812171,vllm
64,p99_ttft_ms,636.91,1164.52,82.83901964170762,vllm
64,median_tpot_ms,7.22,6.13,-15.096952908587257,sglang
64,p95_tpot_ms,8.73,8.38,-4.0091638029782315,sglang
64,p99_tpot_ms,9.49,8.66,-8.74604847207587,sglang
64,median_itl_ms,5.04,4.75,-5.753968253968255,sglang
64,p95_itl_ms,34.25,5.7,-83.35766423357664,sglang
64,p99_itl_ms,36.6,17.89,-51.12021857923497,sglang
64,max_itl_ms,108.74,512.03,370.8754828030164,vllm
128,output_throughput_tps,7809.37,7267.41,-6.939868388871317,vllm
128,request_throughput_rps,61.01,56.78,-6.9332896246516915,vllm
128,median_e2e_ms,2067.46,2153.22,4.1480850899170845,vllm
128,p95_e2e_ms,2427.73,2632.62,8.439571121994614,vllm
128,p99_e2e_ms,2677.67,2686.42,0.32677663789787387,vllm
128,median_ttft_ms,570.7,660.41,15.719292097424201,vllm
128,p95_ttft_ms,1063.03,1080.58,1.6509411775772984,vllm
128,p99_ttft_ms,1336.3,2124.67,58.9964828257128,vllm
128,median_tpot_ms,11.84,12.05,1.7736486486486558,vllm
128,p95_tpot_ms,14.96,15.49,3.5427807486630973,vllm
128,p99_tpot_ms,16.35,16.28,-0.4281345565749253,sglang
128,median_itl_ms,7.08,8.15,15.11299435028249,vllm
128,p95_itl_ms,39.5,10.9,-72.40506329113924,sglang
128,p99_itl_ms,42.69,37.92,-11.173576950105403,sglang
128,max_itl_ms,235.73,1045.08,343.3377168794807,vllm
