formal_id,engine,concurrency,repeat,successful_requests,benchmark_duration_s,request_throughput_rps,input_throughput_tps,output_throughput_tps,peak_output_throughput_tps,total_throughput_tps,concurrency_observed,mean_e2e_ms,median_e2e_ms,p90_e2e_ms,p95_e2e_ms,p99_e2e_ms,mean_ttft_ms,median_ttft_ms,p90_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p90_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p90_itl_ms,p95_itl_ms,p99_itl_ms,max_itl_ms
20260907T101719Z,vllm,1,1,10,5.66,1.77,904.14,226.03,232.0,1130.17,1.0,565.41,565.73,568.44,568.98,569.42,27.08,26.91,30.07,30.79,31.36,4.24,4.24,4.24,4.25,4.25,4.25,4.24,4.46,4.57,4.91,12.79
20260907T101719Z,vllm,1,2,10,5.65,1.77,905.63,226.41,232.0,1132.04,1.0,564.5,564.76,566.6,570.23,573.13,25.85,25.43,29.49,33.71,37.09,4.24,4.24,4.25,4.25,4.25,4.25,4.24,4.48,4.61,4.95,12.77
20260907T101719Z,vllm,1,3,10,5.65,1.77,906.0,226.5,232.0,1132.51,1.0,564.27,564.46,566.62,568.54,570.07,25.45,25.52,28.59,30.4,31.86,4.24,4.24,4.25,4.25,4.25,4.25,4.24,4.44,4.55,4.78,13.08
20260907T101719Z,vllm,1,4,10,5.64,1.77,908.47,227.12,233.0,1135.59,1.0,562.66,562.3,567.99,568.02,568.05,24.63,24.05,29.8,30.33,30.76,4.24,4.24,4.24,4.24,4.25,4.25,4.24,4.43,4.51,4.81,12.76
20260907T101719Z,vllm,1,5,10,5.64,1.77,908.54,227.13,233.0,1135.67,1.0,562.65,562.91,564.49,565.11,565.6,23.6,23.76,25.55,26.26,26.82,4.24,4.24,4.25,4.25,4.25,4.25,4.24,4.43,4.49,4.97,12.82
20260907T101719Z,vllm,8,1,40,2.92,13.7,7016.72,1754.18,1695.0,8770.9,7.96,581.19,581.69,591.74,593.78,594.93,70.06,69.22,90.72,97.76,98.54,4.02,4.07,4.19,4.22,4.45,4.02,3.89,4.21,4.38,5.43,33.98
20260907T101719Z,vllm,8,2,40,2.91,13.77,7049.08,1762.27,1703.0,8811.35,7.97,579.23,578.3,589.88,592.69,592.94,68.11,66.97,89.69,97.27,97.52,4.02,4.08,4.2,4.22,4.41,4.02,3.9,4.16,4.25,4.61,38.79
20260907T101719Z,vllm,8,3,40,2.91,13.72,7025.84,1756.46,1704.0,8782.3,7.97,580.95,579.49,588.98,591.69,592.03,68.45,67.55,86.72,98.89,99.28,4.04,4.08,4.2,4.22,4.48,4.03,3.89,4.17,4.3,7.3,32.45
20260907T101719Z,vllm,8,4,40,3.06,13.05,6684.14,1671.04,1600.0,8355.18,7.96,610.09,615.15,619.88,620.63,621.37,79.98,81.44,99.85,106.77,107.26,4.17,4.1,4.35,4.41,4.68,4.39,3.86,7.38,9.13,14.86,27.44
20260907T101719Z,vllm,8,5,40,2.9,13.79,7062.98,1765.74,1694.0,8828.72,7.97,578.01,574.84,594.84,597.88,598.34,64.04,64.13,86.0,96.92,97.1,4.05,4.02,4.23,4.24,4.47,4.04,3.91,4.17,4.32,7.91,31.29
20260907T101719Z,vllm,32,1,160,4.22,37.92,19413.95,4853.49,5075.0,24267.43,31.8,838.67,841.95,890.55,900.59,952.02,158.8,152.97,254.88,274.98,307.58,5.35,5.34,6.05,6.14,6.77,5.41,4.37,4.88,8.54,33.92,101.02
20260907T101719Z,vllm,32,2,160,4.24,37.78,19343.04,4835.76,5027.0,24178.8,31.8,841.77,841.91,881.82,897.85,940.27,167.08,167.28,267.23,275.34,309.15,5.31,5.32,6.03,6.11,6.52,5.37,4.4,4.94,7.52,33.9,100.07
20260907T101719Z,vllm,32,3,160,4.26,37.6,19250.99,4812.75,4946.0,24063.74,31.8,845.68,850.29,874.23,891.75,906.73,168.01,165.83,266.45,276.9,310.38,5.34,5.29,6.04,6.13,6.53,5.39,4.4,4.87,7.81,33.79,99.83
20260907T101719Z,vllm,32,4,160,4.24,37.75,19329.9,4832.48,5015.0,24162.38,31.8,842.18,842.23,876.34,892.27,909.28,164.44,166.33,251.49,278.7,316.46,5.34,5.32,6.02,6.13,6.65,5.39,4.4,4.88,8.35,33.83,100.18
20260907T101719Z,vllm,32,5,160,4.24,37.71,19305.57,4826.39,4983.0,24131.96,31.8,843.28,834.65,881.99,888.95,945.2,163.39,163.68,248.79,282.14,315.46,5.35,5.29,6.02,6.11,6.54,5.43,4.4,4.87,8.58,33.92,100.32
20260907T101719Z,vllm,64,1,320,6.11,52.36,26810.04,6702.51,7844.0,33512.55,63.44,1211.61,1209.1,1289.86,1326.38,1356.35,300.92,278.51,475.62,569.21,635.77,7.17,7.22,8.55,8.74,9.52,7.33,5.0,9.39,34.22,36.6,110.03
20260907T101719Z,vllm,64,2,320,6.12,52.27,26761.96,6690.49,7878.0,33452.45,63.45,1213.82,1210.74,1293.41,1305.18,1362.73,301.94,311.27,456.77,502.72,636.91,7.18,7.05,8.54,8.72,9.49,7.28,5.05,7.01,34.25,36.62,106.44
20260907T101719Z,vllm,64,3,320,6.12,52.29,26770.49,6692.62,7870.0,33463.11,63.45,1213.58,1207.5,1271.46,1318.57,1441.77,298.79,317.17,422.63,509.34,642.3,7.2,6.99,8.53,8.72,9.4,7.29,5.04,7.11,34.11,36.41,108.83
20260907T101719Z,vllm,64,4,320,6.1,52.49,26872.51,6718.13,7856.0,33590.64,63.47,1209.32,1207.4,1294.32,1320.9,1434.63,271.62,272.07,415.03,501.92,635.37,7.38,7.38,8.53,8.75,9.6,7.45,5.04,7.99,34.62,36.36,108.74
20260907T101719Z,vllm,64,5,320,6.13,52.19,26721.53,6680.38,7856.0,33401.91,63.46,1215.88,1211.07,1331.44,1369.52,1402.88,301.53,282.62,466.4,506.31,639.12,7.2,7.29,8.52,8.73,9.48,7.31,5.03,7.45,34.43,36.66,108.55
20260907T101719Z,vllm,128,1,640,10.47,61.14,31304.33,7826.08,12150.0,39130.41,126.65,2071.47,2066.16,2242.6,2427.73,2677.67,558.94,603.85,834.2,1058.69,1332.79,11.91,11.47,14.55,14.89,16.21,12.25,6.88,37.23,39.33,42.3,239.6
20260907T101719Z,vllm,128,2,640,10.48,61.09,31278.74,7819.69,11410.0,39098.43,126.74,2074.57,2068.85,2344.42,2364.28,2493.4,577.11,565.73,869.22,1061.24,1335.66,11.79,11.9,14.56,14.89,16.3,12.58,7.09,37.12,39.85,41.91,228.35
20260907T101719Z,vllm,128,3,640,10.49,61.01,31237.49,7809.37,11509.0,39046.87,126.75,2077.45,2067.46,2189.7,2436.31,2685.14,574.5,570.7,888.18,1078.76,1349.67,11.83,11.84,14.57,14.96,16.35,12.67,7.08,37.3,39.55,44.11,235.73
