unix_ts,elapsed_s,utc_time,running_requests,waiting_requests,waiting_capacity,waiting_deferred,kv_cache_usage,preemptions_total,gpu_util_pct,fb_used_mb,power_w,gpu_temp_c,engine_up,dcgm_up
1788785718,-20,2026-09-07 12:55:18+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,104.314,47.0,1.0,1.0
1788785719,-19,2026-09-07 12:55:19+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,104.025,47.0,1.0,1.0
1788785720,-18,2026-09-07 12:55:20+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.829,46.0,1.0,1.0
1788785721,-17,2026-09-07 12:55:21+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.866,46.0,1.0,1.0
1788785722,-16,2026-09-07 12:55:22+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.737,46.0,1.0,1.0
1788785723,-15,2026-09-07 12:55:23+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.566,46.0,1.0,1.0
1788785724,-14,2026-09-07 12:55:24+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.476,46.0,1.0,1.0
1788785725,-13,2026-09-07 12:55:25+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.537,46.0,1.0,1.0
1788785726,-12,2026-09-07 12:55:26+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.829,46.0,1.0,1.0
1788785727,-11,2026-09-07 12:55:27+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.697,46.0,1.0,1.0
1788785728,-10,2026-09-07 12:55:28+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.599,46.0,1.0,1.0
1788785729,-9,2026-09-07 12:55:29+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.248,46.0,1.0,1.0
1788785730,-8,2026-09-07 12:55:30+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.627,46.0,1.0,1.0
1788785731,-7,2026-09-07 12:55:31+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.437,46.0,1.0,1.0
1788785732,-6,2026-09-07 12:55:32+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.5,46.0,1.0,1.0
1788785733,-5,2026-09-07 12:55:33+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.438,46.0,1.0,1.0
1788785734,-4,2026-09-07 12:55:34+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.167,46.0,1.0,1.0
1788785735,-3,2026-09-07 12:55:35+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.473,46.0,1.0,1.0
1788785736,-2,2026-09-07 12:55:36+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.308,46.0,1.0,1.0
1788785737,-1,2026-09-07 12:55:37+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.432,46.0,1.0,1.0
1788785738,0,2026-09-07 12:55:38+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.069,46.0,1.0,1.0
1788785739,1,2026-09-07 12:55:39+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.272,45.0,1.0,1.0
1788785740,2,2026-09-07 12:55:40+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.213,45.0,1.0,1.0
1788785741,3,2026-09-07 12:55:41+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.243,45.0,1.0,1.0
1788785742,4,2026-09-07 12:55:42+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,102.948,45.0,1.0,1.0
1788785743,5,2026-09-07 12:55:43+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.098,45.0,1.0,1.0
1788785744,6,2026-09-07 12:55:44+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.209,45.0,1.0,1.0
1788785745,7,2026-09-07 12:55:45+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.113,45.0,1.0,1.0
1788785746,8,2026-09-07 12:55:46+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74382.0,103.048,45.0,1.0,1.0
