trial_dir,config_label,chunked_prefill,max_num_batched_tokens,replicate,trial_kind,background_concurrency,interferer_input_tokens,interferer_count,baseline_window_s,impact_window_s,baseline_gap_count,impact_gap_count,baseline_gap_p95_ms,baseline_gap_p99_ms,impact_gap_p95_ms,impact_gap_p99_ms,impact_gap_max_ms,p95_stall_ratio,p99_stall_ratio,background_event_rate_baseline_s,background_event_rate_impact_s,background_event_rate_ratio,long_ttft_p50_ms,long_ttft_p95_ms,long_e2e_p50_ms,impact_max_running,impact_max_waiting,impact_max_kv_usage,preemptions_delta,completed_background_requests,event_token_delta_min,event_token_delta_max
results/s8/raw/interference_formal/20260908T144356Z/block_1/off_32768/control,off_32768,0,32768,1,control,64,16384,1,4.0,2.0003384072333574,37170,17152,11.023518443107601,17.176196994259953,10.996158886700869,13.329389430582527,15.434199012815952,0.9975180740570322,0.77603845804965,9276.5,8542.554568871272,0.9208812126201985,,,,64.0,0.0,0.07808747966639984,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/off_32768/inject_16384,off_32768,0,32768,1,inject,64,16384,1,4.0,0.4454846754670143,37133,446,10.625587031245232,12.196115255355835,395.53817035630345,395.810972712934,395.95641382038593,37.225065231050074,32.453856365379664,9267.25,857.4930206062386,0.09252939335900495,444.9981991201639,444.9981991201639,605.6795436888933,65.0,0.0,0.07766789744119396,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/off_32768/inject_24576,off_32768,0,32768,1,inject,64,24576,1,4.0,0.7527408199384809,37222,473,10.340727213770151,11.174359899014236,700.274614803493,701.8145301938057,702.3202925920486,67.72005491750886,62.80579259450175,9289.5,543.3477090207839,0.05849052252766929,752.193127758801,752.193127758801,926.73200648278,65.0,0.0,0.08097936946474216,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/off_32768/inject_8192,off_32768,0,32768,1,inject,64,8192,1,4.0,0.23401556257158518,37225,572,10.319812595844267,11.508596390485764,172.9291709139943,173.0627428367734,173.30580484122038,16.757006903752494,15.037693300274704,9290.25,2170.7957984401282,0.23366387324777355,233.56682434678078,233.56682434678078,372.2036387771368,65.0,0.0,0.07436288052880269,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_1024/control,on_1024,1,1024,1,control,64,16384,1,4.0,2.0036011934280396,37455,17152,9.960662387311457,10.763733200728893,10.022370424121618,10.916872806847115,12.87022978067398,1.0061951740166166,1.0142273691908168,9347.75,8528.643352803894,0.9123739245063137,,,,64.0,0.0,0.07616257781032587,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_1024/inject_16384,on_1024,1,1024,1,inject,64,16384,1,4.0,0.8681634468957782,36724,1513,10.875822464004157,17.226229049265307,56.074449606239796,58.43438912183046,58.66347253322601,5.15588129466347,3.3921753248905437,9165.0,1669.0405535744128,0.18211026225580063,867.6913874223828,867.6913874223828,1029.022939503193,65.0,0.0,0.07579009835982775,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_1024/inject_24576,on_1024,1,1024,1,inject,64,24576,1,4.0,1.4188268445432186,38409,2120,10.79997606575489,17.959121800959107,66.96785097010434,70.42121986858547,70.52050996571779,6.200740683347381,3.9211950700632046,9586.25,1449.0845080267104,0.15116281215560937,1418.138756416738,1418.138756416738,1610.8526708558202,65.0,0.0,0.07911084735918383,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_1024/inject_8192,on_1024,1,1024,1,inject,64,8192,1,4.0,0.3982185199856758,37133,960,13.597857579588894,18.86112291365862,44.98324263840914,45.07665212266147,45.113639906048775,3.308112500452378,2.389924095665503,9267.25,2250.020918244158,0.24279272904520308,397.62015268206596,397.62015268206596,541.2439964711666,65.0,0.0,0.07209686990997366,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_16384/control,on_16384,1,16384,1,control,64,16384,1,4.0,2.0076651284471154,37486,17216,10.616857092827559,12.880169693380598,10.509425774216652,11.554438248276709,14.267727732658386,0.9898810620062425,0.8970718960492259,9355.5,8543.257417269928,0.9131802060039472,,,,64.0,0.0,0.07696321087258062,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_16384/inject_16384,on_16384,1,16384,1,inject,64,16384,1,4.0,0.48693943955004215,37304,659,9.715580986812709,10.451869778335096,392.86396000534296,393.3638088591397,393.5071639716625,40.43648656097774,37.6357357297461,9310.0,1221.9178642621587,0.13124789089819106,483.18824265152216,483.18824265152216,647.8217178955674,65.0,0.0,0.07656236081595258,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_16384/inject_24576,on_16384,1,16384,1,inject,64,24576,1,4.0,0.7783670462667942,36999,541,10.19039023667574,12.548274826258389,389.8803936317563,389.92413617670536,389.93604853749275,38.25961367294421,31.073923832203146,9233.75,612.8214218314977,0.06636755617506405,777.6315677911043,777.6315677911043,966.1249155178666,65.0,0.0,0.07966735807999181,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_16384/inject_8192,on_16384,1,16384,1,inject,64,8192,1,4.0,0.22185870353132486,37293,431,10.741030424833298,11.996290870010853,175.83214351907372,175.92657525092363,175.95095746219158,16.370137367132788,14.665080828501491,9307.25,1654.2060066089866,0.17773305827274294,221.40475641936064,221.40475641936064,355.99744133651257,65.0,0.0,0.07329829606912441,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_2048/control,on_2048,1,2048,1,control,64,16384,1,4.0,2.0046469857916236,37348,17145,10.618943814188242,12.362109795212746,10.455488041043282,12.143106907606125,15.010477975010872,0.9846071534038476,0.9822843437540548,9321.0,8520.702208950177,0.9141403507080975,,,,64.0,0.0,0.0756823353406334,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_2048/inject_16384,on_2048,1,2048,1,inject,64,16384,1,4.0,0.6480606412515044,37153,924,10.226733051240444,12.22654715180397,89.6449763327837,90.34489470534027,90.39944410324097,8.765749128643803,7.389240280483464,9272.25,1327.036306878949,0.14311912501053672,647.5466024130583,647.5466024130583,805.8461435139179,65.0,0.0,0.07563833398287723,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_2048/inject_24576,on_2048,1,2048,1,inject,64,24576,1,4.0,1.084662596695125,35108,1337,16.22767806984485,25.034558856859803,101.15518104285002,102.66744654625654,105.85368890315294,6.233496906179206,4.101028787176903,8761.0,1173.6368561787997,0.13396151765538178,1083.7535299360752,1083.7535299360752,1263.1345316767693,65.0,0.0,0.07821555636573929,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_2048/inject_8192,on_2048,1,2048,1,inject,64,8192,1,4.0,0.30789817683398724,37187,693,10.385085362941025,12.109293788671492,68.39639376848936,68.74104265123606,69.06496547162533,6.586021335227591,5.676717722014871,9280.75,2042.8831585421979,0.2201204814850306,306.8880410864949,306.8880410864949,441.77323766052723,65.0,0.0,0.07241366305017416,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_32768/control,on_32768,1,32768,1,control,64,16384,1,4.0,2.003186679445207,37374,17088,9.75023778155446,10.661244010552762,10.21046098321676,12.692502019926907,13.696210458874702,1.0472012285211088,1.1905272975052026,9327.5,8498.459067586693,0.9111186349597098,,,,64.0,0.0,0.07766789744119396,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_32768/inject_16384,on_32768,1,32768,1,inject,64,16384,1,4.0,0.4409501375630498,37270,344,10.07595262490213,10.870284521952268,399.43060050718486,399.57659404724836,400.03750286996365,39.64196889135975,36.75861411357848,9301.5,634.992431451422,0.06826774514340934,440.49502816051245,440.49502816051245,602.9444644227624,65.0,0.0,0.077674352552351,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_32768/inject_24576,on_32768,1,32768,1,inject,64,24576,1,4.0,0.7522062323987484,37200,521,9.728807210922241,10.883707869797949,694.9948007240891,695.7050682976842,696.0559729486704,71.43679442468952,63.921696228934124,9284.0,607.5461493354684,0.06544012810593154,751.6747806221247,751.6747806221247,932.9104078933597,65.0,0.0,0.08097291435358522,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_32768/inject_8192,on_32768,1,32768,1,inject,64,8192,1,4.0,0.225575334392488,37294,481,10.005693696439266,11.022984944283962,173.89030940830708,174.1033596917987,174.1743152961135,17.37913578847507,15.794574751921536,9307.5,1848.6063696771216,0.19861470531046163,224.37155339866877,224.37155339866877,357.6400801539421,65.0,0.0,0.07436288052880269,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_4096/control,on_4096,1,4096,1,control,64,16384,1,4.0,2.004799802787602,37401,17152,9.973887354135513,11.276252567768097,10.228787316009402,11.794354310259227,13.665019534528255,1.0255567315754974,1.0459462697715787,9334.25,8523.544334072534,0.9131472088354752,,,,64.0,0.0,0.07672605012107614,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_4096/inject_16384,on_4096,1,4096,1,inject,64,16384,1,4.0,0.5478881187736988,37164,703,10.368675971403718,11.475222669541836,144.85938865691423,145.09073993191123,145.10268066078424,13.970866584743227,12.643827846323106,9275.0,1166.296508546728,0.12574625429075237,547.3216604441404,547.3216604441404,711.1850641667843,65.0,0.0,0.07647182198946223,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_4096/inject_24576,on_4096,1,4096,1,inject,64,24576,1,4.0,0.9228879995644093,37277,863,10.217068158090115,11.223154217004774,186.65019227191806,187.01421478763223,187.1110014617443,18.268468936866594,16.663249134033766,9303.25,865.760526062878,0.09306000871339348,922.3185256123543,922.3185256123543,1102.9637092724442,65.0,0.0,0.0797259420741202,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_4096/inject_8192,on_4096,1,4096,1,inject,64,8192,1,4.0,0.2783632818609476,37324,667,10.289473971351981,11.491733929142356,111.97224361822009,111.98892245069146,111.9991596788168,10.882212631080455,9.745171889743652,9315.0,2166.233980174224,0.23255329899884317,277.6556368917227,277.6556368917227,416.5171543136239,65.0,0.0,0.07321770190480426,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_512/control,on_512,1,512,1,control,64,16384,1,4.0,2.001127596013248,37413,17152,10.34452561289072,11.671791635453697,10.552668292075396,11.620701262727383,16.1672905087471,1.0201210463363637,0.9956227480474271,9337.25,8539.185624166903,0.9145289698965866,,,,64.0,0.0,0.07468475989028578,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_512/inject_16384,on_512,1,512,1,inject,64,16384,1,4.0,1.2954368218779564,37413,2778,9.992368891835213,11.059682853519908,41.03358294814825,41.795208333060145,41.86522960662842,4.106492003280311,3.779060293736922,9337.25,2095.0462069355067,0.22437507905812812,1294.6463814005256,1294.6463814005256,1460.2116579189897,65.0,0.0,0.07560741386993719,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_512/inject_24576,on_512,1,512,1,inject,64,24576,1,4.0,2.1288489075377584,37260,3968,10.169768519699572,11.802009521052241,49.232337856665254,55.75156065635383,56.41750432550907,4.841048029883736,4.723904056923955,9299.0,1833.854899789668,0.19720990426816518,2128.2120076939464,2128.2120076939464,2311.7482690140605,65.0,0.0,0.07927920011548861,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_512/inject_8192,on_512,1,512,1,inject,64,8192,1,4.0,0.5950088677927852,37440,1548,10.095624392852184,11.535484036430717,36.20432876050472,58.34741687402129,58.527556248009205,3.5861406240645994,5.058081367869069,9344.0,2494.0804756489956,0.2669178591233942,594.5636974647641,594.5636974647641,733.3896504715085,65.0,0.0,0.07190424483596214,0.0,0,,
results/s8/raw/interference_formal/20260908T144356Z/block_1/on_8192/control,on_8192,1,8192,1,control,64,16384,1,4.0,2.003978293389082,37193,17152,10.011236183345318,11.524732299149058,10.221756529062986,12.613388355821375,13.699975796043873,1.021028406668488,1.0944625895347433,9282.25,8527.038469613944,0.9186391736501327,,,,64.0,0.0,0.07626508307536795,0.0,0,,
