interferer_input_tokens,alpha_ttft,selected_config,normalized_objective
8192,0.0,on_512,0.37681667450815437
8192,0.05,on_512,0.37798832018238804
8192,0.1,on_512,0.37915996585662165
8192,0.15,on_512,0.38033161153085526
8192,0.2,on_512,0.38150325720508893
8192,0.25,on_512,0.3826749028793226
8192,0.3,on_512,0.3838465485535562
8192,0.35,on_512,0.3850181942277898
8192,0.4,on_512,0.3861898399020235
8192,0.45,on_1024,0.38112637497484686
8192,0.5,on_1024,0.3709488576898972
8192,0.55,on_1024,0.36077134040494757
8192,0.6,on_1024,0.350593823119998
8192,0.65,on_1024,0.34041630583504834
8192,0.7,on_1024,0.3302387885500988
8192,0.75,on_1024,0.3200612712651491
8192,0.8,on_2048,0.3025215625514587
8192,0.85,on_2048,0.2784660085539023
8192,0.9,on_2048,0.2544104545563459
8192,0.95,on_32768,0.22540655301728604
8192,1.0,on_32768,0.14501426989833513
16384,0.0,on_512,0.43601820468902586
16384,0.05,on_512,0.4574324595866104
16384,0.1,on_512,0.4788467144841949
16384,0.15,on_512,0.5002609693817794
16384,0.2,on_512,0.521675224279364
16384,0.25,on_512,0.5430894791769485
16384,0.3,on_512,0.5645037340745329
16384,0.35,on_1024,0.5838040278013796
16384,0.4,on_1024,0.5834023217484354
16384,0.45,on_1024,0.5830006156954914
16384,0.5,on_1024,0.5825989096425473
16384,0.55,on_1024,0.5821972035896033
16384,0.6,on_1024,0.5817954975366593
16384,0.65,on_1024,0.5813937914837152
16384,0.7,on_2048,0.5713046569967022
16384,0.75,on_2048,0.5489736974937841
16384,0.8,on_2048,0.526642737990866
16384,0.85,on_2048,0.5043117784879481
16384,0.9,on_4096,0.4753987317346036
16384,0.95,on_4096,0.42120380575768657
16384,1.0,on_32768,0.30470317229628563
24576,0.0,on_512,0.5805934632197023
24576,0.05,on_512,0.6235249096745005
24576,0.1,on_512,0.6664563561292985
24576,0.15,on_512,0.7093878025840967
24576,0.2,on_1024,0.7486321139583986
24576,0.25,on_1024,0.7608271902737519
24576,0.3,on_1024,0.7730222665891051
24576,0.35,on_1024,0.7852173429044584
24576,0.4,on_1024,0.7974124192198118
24576,0.45,on_1024,0.8096074955351651
24576,0.5,on_1024,0.8218025718505184
24576,0.55,on_1024,0.8339976481658717
24576,0.6,on_1024,0.8461927244812251
24576,0.65,on_2048,0.8306164256917934
24576,0.7,on_2048,0.8136173232768974
24576,0.75,on_2048,0.7966182208620012
24576,0.8,on_2048,0.7796191184471051
24576,0.85,on_2048,0.762620016032209
24576,0.9,on_4096,0.7280316876992583
24576,0.95,on_4096,0.6676898832805456
24576,1.0,on_32768,0.49966385029256344
