case,replicate,trial_kind,config_label,interferer_input_tokens,profile_start_latency_ms,profile_stop_latency_ms,injection_offset_ms,impact_end_offset_ms,kernel_count,gpu_span_ms,gpu_active_fraction,max_kernel_duration_ms,max_busy_interval_ms,impact_max_busy_interval_ms,background_p99_stall_ratio,background_impact_max_gap_ms,long_request_ttft_p50_ms,impact_max_waiting,impact_max_kv_usage,preemptions_delta
control_off_32768,1,control,off_32768,24576,821.0434889188036,4630.4000820964575,0.003786059096455574,2005.779428058304,217433,4049.649509,0.9968602793965892,0.617767,1832.614927,1832.614927,1.0548916913389823,19.647742970846593,,0.0,0.0780774965628086,0.0
inject_off_32768,1,inject,off_32768,24576,636.4664910361171,3668.862279970199,0.003166031092405319,736.8920029839501,122966,2976.488906,0.9984133607921467,12.677548,2965.39931,2965.39931,41.50386399644149,662.8305899212137,730.5117719806731,0.0,0.08055614724734228,0.0
inject_on_1024,1,inject,on_1024,24576,753.6435739602894,3880.1332359435037,0.003485940396785736,1393.0813119513914,129065,3625.125629,0.9990082969894227,1.886709,3617.140707,3617.140707,5.72682836196924,67.37562199123204,1392.4867269815877,0.0,0.07951705865364089,0.0
inject_on_4096,1,inject,on_4096,24576,771.078355028294,3813.01737902686,0.003505963832139969,886.2238669535145,123650,3129.737493,0.997614955881541,4.180334,2664.039256,2664.039256,16.145152851591973,172.605739091523,880.5095970164984,0.0,0.07938896689817587,0.0
control_off_32768,2,control,off_32768,24576,758.4624299779534,4402.124000014737,0.0048211077228188515,2006.2643591081724,217871,4060.218226,0.9953937889642881,0.3345,1347.457865,1284.493546,1.6486980562853162,26.19420806877315,,0.0,0.07766438811538634,0.0
inject_off_32768,2,inject,off_32768,24576,701.3793900841847,3897.474928991869,0.0049299560487270355,730.0573089160025,121347,2960.423682,0.9985368415249692,12.72987,1990.027448,1990.027448,57.29792076296771,664.6674029761925,724.2261759238318,0.0,0.0813823641421868,0.0
inject_on_1024,2,inject,on_1024,24576,711.7018409771845,3946.081359987147,0.003836001269519329,1379.0038670413196,128653,3612.732673,0.9987785379103803,1.864404,2822.998733,2822.998733,5.976381563305197,67.0824779663235,1376.5472000231966,0.0,0.0793852103921544,0.0
inject_on_4096,2,inject,on_4096,24576,587.9315109923482,3870.0039219111204,0.0054800184443593025,900.7139559835196,125239,3154.746582,0.9969220180614812,4.185518,646.327872,646.327872,11.623215417617072,174.86802593339235,899.3723369203508,0.0,0.07898597721848966,0.0
control_off_32768,3,control,off_32768,24576,695.0285960920155,4487.1489140205085,0.0032959505915641785,2002.957340911962,217843,4053.412947,0.9967208468089003,0.33322,1953.496496,1953.496496,1.0869159976162999,14.943752903491259,,0.0,0.0780774965628086,0.0
inject_off_32768,3,inject,off_32768,24576,686.6758619435132,3622.1111860359088,0.0038279686123132706,747.4980959668756,122577,2981.745846,0.9992264528504017,12.696009,1876.598472,1102.769236,51.58235050593404,666.3622780470178,745.6176189007238,0.0,0.0813823641421868,0.0
inject_on_1024,3,inject,on_1024,24576,700.9491759818047,3863.0656040040776,0.004678964614868164,1386.0300310188904,129091,3626.233134,0.9983410837699328,1.866389,1662.339468,1142.838243,4.080320131771281,66.67430594097823,1381.5067530376837,0.0,0.07936009643758557,0.0
inject_on_4096,3,inject,on_4096,24576,730.5728730279952,3720.155784045346,0.004447996616363525,897.7522229542956,124439,3146.747871,0.9962653811230623,4.23771,1102.597568,788.189442,13.96559362837901,177.6900349650532,896.3515019277111,0.0,0.07939526361192095,0.0
control_off_32768,4,control,off_32768,24576,703.6000500665978,4428.449301980436,0.0037669669836759567,2004.024651949294,217873,4051.064033,0.9958664035266805,0.382181,981.077232,981.077232,1.180348700835865,15.961469034664333,,0.0,0.07767084293487736,0.0
inject_off_32768,4,inject,off_32768,24576,684.4523639883846,3648.8849599845707,0.003705965355038643,727.1959020290524,121765,2974.532164,0.9952427197892623,12.741931,1134.943903,919.005931,60.63407573930858,663.9030840015039,721.5434480458498,0.0,0.0813823641421868,0.0
inject_on_1024,4,inject,on_1024,24576,690.0880050379783,3909.6506340429187,0.004419009201228619,1385.56859199889,129093,3624.706331,0.998771007747055,1.857588,3110.308502,3110.308502,4.926828982079754,67.03766295686364,1380.7402460370213,0.0,0.07961751447191634,0.0
inject_on_4096,4,inject,on_4096,24576,699.6138080721721,3690.7824190566316,0.003285938873887062,898.2680379413068,124031,3137.217698,0.9985360623832615,4.188813,2741.436376,2741.436376,13.76465040930469,174.43526908755302,897.2705609630793,0.0,0.07938896689817587,0.0
control_off_32768,5,control,off_32768,24576,565.7099339878187,4510.703977080993,0.003488035872578621,2007.8922600951046,217870,4059.697123,0.9958553686419922,0.333059,1985.680724,1985.680724,1.384413276282944,25.21034807432443,,0.0,0.0780774965628086,0.0
inject_off_32768,5,inject,off_32768,24576,768.5853750444949,3753.853942034766,0.004127970896661282,731.8339989287779,121751,2963.049963,0.9989993982426816,12.648749,1674.811774,1279.275786,62.40270505749544,663.8461439870298,729.7747728880495,0.0,0.08096925569476454,0.0
inject_on_1024,5,inject,on_1024,24576,784.2662339098752,3846.0224480368197,0.00451807864010334,1398.9578840555623,129886,3639.419006,0.9994203758906237,1.855541,3637.239622,3637.239622,4.992920040167316,66.84369093272835,1392.1325709670782,0.0,0.07963634993784297,0.0
inject_on_4096,5,inject,on_4096,24576,748.3157929964364,3796.030431985855,0.005649984814226627,896.3218659628183,123206,3128.439928,0.9958899744614179,4.210607,867.06946,867.06946,14.8302631166616,176.04496399872005,890.844382927753,0.0,0.07943934060813662,0.0
