timestamp, utilization.gpu [%], memory.used [MiB], temperature.gpu, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/10 04:23:41.530, 2 %, 563 MiB, 51, 109.39 W, 1410 MHz, 1512 MHz
2026/09/10 04:23:43.539, 2 %, 563 MiB, 51, 110.68 W, 1410 MHz, 1512 MHz
2026/09/10 04:23:45.541, 0 %, 563 MiB, 52, 109.69 W, 1410 MHz, 1512 MHz
2026/09/10 04:23:47.542, 1 %, 563 MiB, 51, 110.76 W, 1410 MHz, 1512 MHz
2026/09/10 04:23:49.544, 0 %, 563 MiB, 51, 109.42 W, 1410 MHz, 1512 MHz
2026/09/10 04:23:51.546, 7 %, 563 MiB, 52, 109.69 W, 1410 MHz, 1512 MHz
2026/09/10 04:23:53.547, 2 %, 583 MiB, 51, 109.28 W, 1410 MHz, 1512 MHz
2026/09/10 04:23:55.549, 2 %, 563 MiB, 51, 111.95 W, 1410 MHz, 1512 MHz
2026/09/10 04:23:57.551, 0 %, 585 MiB, 51, 110.57 W, 1410 MHz, 1512 MHz
2026/09/10 04:23:59.552, 1 %, 563 MiB, 52, 110.77 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:01.554, 0 %, 563 MiB, 52, 110.77 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:03.555, 2 %, 563 MiB, 51, 109.18 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:05.557, 2 %, 563 MiB, 51, 109.39 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:07.558, 0 %, 583 MiB, 52, 109.39 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:09.559, 0 %, 583 MiB, 51, 109.39 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:11.561, 2 %, 563 MiB, 51, 109.29 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:13.563, 0 %, 563 MiB, 52, 109.69 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:15.564, 0 %, 623 MiB, 51, 110.27 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:17.565, 0 %, 683 MiB, 52, 110.37 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:19.567, 4 %, 623 MiB, 52, 110.77 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:21.568, 2 %, 643 MiB, 52, 124.02 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:23.570, 0 %, 683 MiB, 52, 139.53 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:25.571, 3 %, 623 MiB, 52, 113.03 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:27.573, 0 %, 623 MiB, 52, 110.97 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:29.574, 0 %, 683 MiB, 52, 110.87 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:31.576, 1 %, 623 MiB, 52, 110.87 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:33.577, 0 %, 643 MiB, 52, 146.07 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:35.578, 0 %, 643 MiB, 52, 110.47 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:37.580, 0 %, 653 MiB, 52, 110.77 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:39.582, 2 %, 613 MiB, 52, 111.86 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:41.584, 4 %, 633 MiB, 52, 109.59 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:43.586, 0 %, 653 MiB, 52, 110.97 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:45.588, 0 %, 613 MiB, 52, 111.26 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:47.590, 2 %, 613 MiB, 52, 111.16 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:49.592, 2 %, 613 MiB, 52, 219.12 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:51.594, 0 %, 653 MiB, 53, 170.44 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:53.595, 0 %, 685 MiB, 52, 109.28 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:55.597, 0 %, 685 MiB, 52, 110.87 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:57.598, 5 %, 625 MiB, 52, 111.26 W, 1410 MHz, 1512 MHz
2026/09/10 04:24:59.600, 0 %, 605 MiB, 52, 116.19 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:01.602, 0 %, 605 MiB, 52, 111.16 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:03.603, 0 %, 605 MiB, 52, 111.26 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:05.605, 0 %, 605 MiB, 53, 111.55 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:07.606, 0 %, 697 MiB, 53, 111.65 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:09.608, 0 %, 605 MiB, 52, 111.36 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:11.609, 5 %, 645 MiB, 53, 111.76 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:13.612, 0 %, 877 MiB, 52, 110.87 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:15.613, 32 %, 899 MiB, 53, 124.80 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:17.617, 19 %, 745 MiB, 53, 110.87 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:19.618, 13 %, 745 MiB, 54, 111.95 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:21.619, 0 %, 717 MiB, 53, 110.77 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:23.621, 0 %, 745 MiB, 54, 111.45 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:25.622, 23 %, 885 MiB, 55, 113.53 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:27.624, 0 %, 731 MiB, 54, 111.76 W, 1410 MHz, 1512 MHz
2026/09/10 04:25:29.625, 13 %, 773 MiB, 54, 113.33 W, 1410 MHz, 1512 MHz
