op,rows,width,dtype,backend,phase,blocks,median_p50_us,median_p95_us,median_p50_ci_low_us,median_p50_ci_high_us,max_abs_error,peak_allocated_bytes,speedup_vs_eager_or_unfused,speedup_vs_compile_or_dense
rms,1,1536,torch.bfloat16,compile,forward,5,2.9152000322937965,3.104639984667301,2.903999947011471,2.921600081026554,0.0,3584,7.184412665859086,1.0
rms,1,1536,torch.bfloat16,compile,forward_backward,5,6.0415999963879585,6.164959967136383,6.028800085186958,6.046399846673012,0.0,9728,8.920021163170965,1.0
rms,1,1536,torch.bfloat16,eager,forward,5,20.94400003552437,21.15040011703968,20.924799889326096,20.979200303554535,0.0,34304,1.0,0.13919022284898547
rms,1,1536,torch.bfloat16,eager,forward_backward,5,53.891199827194214,54.15247976779938,53.87840270996094,53.94880175590515,0.0,52736,1.0,0.11210735733776124
rms,1,1536,torch.bfloat16,liger,forward,5,2.1743999794125557,2.5011199340224257,2.171199955046177,2.1824000403285027,0.0,3584,9.632082521074471,1.3406917126081734
rms,1,1536,torch.bfloat16,liger,forward_backward,5,12.369600310921669,12.581600099802017,12.336000055074692,12.377599999308586,0.0,679424,4.356745446302843,0.4884232185783369
rms,1,1536,torch.bfloat16,tilelang,forward,5,2.1935999393463135,2.3267199657857414,2.1808000281453133,2.2016000002622604,0.0,3584,9.547775626655797,1.3289570171863325
rms,1,1536,torch.bfloat16,tilelang,forward_backward,5,7.051200047135353,7.301600053906441,7.027199864387512,7.067200168967247,0.0,9728,7.642840859278734,0.8568186912868032
rms,1,1536,torch.bfloat16,triton,forward,5,2.086400054395199,2.2552000358700752,2.054399996995926,2.099199965596199,0.0,3584,10.038343313595997,1.39723924285405
rms,1,1536,torch.bfloat16,triton,forward_backward,5,7.144000008702278,7.348799668252468,7.121599838137627,7.172800227999687,0.0,9728,7.54356099685723,0.8456886882738718
rms,1,1536,torch.float16,compile,forward,5,2.9152000322937965,3.1371200084686275,2.8991999104619026,3.009600006043911,0.0,3584,7.0537870089064105,1.0
rms,1,1536,torch.float16,compile,forward_backward,5,6.036800146102905,6.319520026445389,6.0336001217365265,6.124800071120262,0.0,9728,8.803074030886437,1.0
rms,1,1536,torch.float16,eager,forward,5,20.56320011615753,20.72511985898018,20.53760066628456,20.691199600696564,0.0,34304,1.0,0.14176781900805305
rms,1,1536,torch.float16,eager,forward_backward,5,53.14239859580994,53.79712134599686,53.089600801467896,53.29599976539612,0.0,52736,1.0,0.11359668185129458
rms,1,1536,torch.float16,liger,forward,5,2.1296000108122826,2.338720057159662,2.1136000752449036,2.4575999937951565,0.0,3584,9.655897826707005,1.3688955754568515
rms,1,1536,torch.float16,liger,forward_backward,5,12.284800037741661,12.52863995730877,12.257600203156471,12.39359974861145,0.0,679424,4.325865983373321,0.4914040218445967
rms,1,1536,torch.float16,tilelang,forward,5,2.1824000403285027,2.50896006822586,2.1616000682115555,2.2975999861955643,0.0,3584,9.422287269139844,1.3357771162132999
rms,1,1536,torch.float16,tilelang,forward_backward,5,7.057600095868111,7.300800047814846,7.035199925303459,7.233599945902824,0.0,9728,7.529811532807347,0.855361605092525
rms,1,1536,torch.float16,triton,forward,5,2.0767999812960625,2.351999972015619,2.0447999238967896,2.1584000438451767,0.0,3584,9.901386893948601,1.4036980251100137
rms,1,1536,torch.float16,triton,forward_backward,5,7.067200168967247,7.351520024240016,7.054400071501732,7.078400254249573,0.0,9728,7.519583049191573,0.8541996832934028
rms,1,3584,torch.bfloat16,compile,forward,5,3.7696000188589096,3.8931200094521046,3.750399872660637,3.7824001163244247,0.0,7680,5.666383731976749,1.0
rms,1,3584,torch.bfloat16,compile,forward_backward,5,8.35840031504631,8.637920133769512,8.347200229763985,8.454400300979614,0.0,22016,6.531967548116029,1.0
rms,1,3584,torch.bfloat16,eager,forward,5,21.36000022292137,21.510399878025055,21.28000035881996,21.561599522829056,0.0,79360,1.0,0.17647939979016292
rms,1,3584,torch.bfloat16,eager,forward_backward,5,54.59679961204529,55.48751801252365,54.579198360443115,54.721599817276,0.0,122368,1.0,0.15309322843902115
rms,1,3584,torch.bfloat16,liger,forward,5,2.329600043594837,2.451360002160072,2.3183999583125114,2.353600040078163,0.0,7680,9.168955968064143,1.6181318459463923
rms,1,3584,torch.bfloat16,liger,forward_backward,5,13.326399773359299,13.483520597219467,13.284800201654434,13.361600041389465,0.0,1584640,4.096890423562808,0.6272061815041391
rms,1,3584,torch.bfloat16,tilelang,forward,5,2.4159999564290047,2.5041599478572607,2.393599972128868,2.4335999973118305,0.0,7680,8.841059854360575,1.5602649366064594
rms,1,3584,torch.bfloat16,tilelang,forward_backward,5,8.214399963617325,8.408320285379887,8.204799890518188,8.240000158548355,0.0,22016,6.64647446604278,1.0175302337440084
rms,1,3584,torch.bfloat16,triton,forward,5,2.3056000471115112,2.42672000080347,2.292799949645996,2.316799946129322,0.0,7680,9.26439962979767,1.6349756860829
rms,1,3584,torch.bfloat16,triton,forward_backward,5,7.772800326347351,7.914079912006855,7.756800204515457,7.790399715304375,0.0,22016,7.024083640355367,1.0753396413277154
rms,1,3584,torch.float16,compile,forward,5,3.7776000797748566,3.9248000457882877,3.750399872660637,3.7919998168945312,0.0,7680,5.55357895502927,1.0
rms,1,3584,torch.float16,compile,forward_backward,5,8.363200351595879,8.54223981499672,8.339200168848038,8.379199728369713,0.0,22016,6.435239876355219,1.0
rms,1,3584,torch.float16,eager,forward,5,20.979200303554535,21.15695983171463,20.96639946103096,21.028800308704376,0.0,79360,1.0,0.1800640646504916
rms,1,3584,torch.float16,eager,forward_backward,5,53.81920039653778,54.27136033773422,53.81599962711334,53.998398780822754,0.0,122368,1.0,0.1553943627920174
rms,1,3584,torch.float16,liger,forward,5,2.2816000506281853,2.498559989035129,2.2784000262618065,2.30880007147789,0.0,7680,9.194950840651675,1.6556802226291951
rms,1,3584,torch.float16,liger,forward_backward,5,13.211199641227722,13.506400361657143,13.182400166988373,13.233599811792374,0.0,1584640,4.073755741952919,0.633038677691096
rms,1,3584,torch.float16,tilelang,forward,5,2.377600036561489,2.5304000265896316,2.3744000121951103,2.3903999477624893,0.0,7680,8.82368774434193,1.5888290804529355
rms,1,3584,torch.float16,tilelang,forward_backward,5,8.222400024533272,8.365759961307049,8.214399963617325,8.246400207281113,0.0,22016,6.54543688411617,1.0171239938026002
rms,1,3584,torch.float16,triton,forward,5,2.2816000506281853,2.448319997638464,2.2655999287962914,2.4143999442458153,0.0,7680,9.194950840651675,1.6556802226291951
rms,1,3584,torch.float16,triton,forward_backward,5,7.734400033950806,7.913919910788536,7.724799960851669,7.744000107049942,0.0,22016,6.95841954906571,1.0812991718665832
rms,1,5120,torch.bfloat16,compile,forward,5,4.532799869775772,4.658559877425432,4.508800059556961,4.556800052523613,0.0,10752,4.7123191165552045,1.0
rms,1,5120,torch.bfloat16,compile,forward_backward,5,10.423999652266502,10.530880056321621,10.417600348591805,10.43039970099926,0.0,31232,5.137682681377132,1.0
rms,1,5120,torch.bfloat16,eager,forward,5,21.35999947786331,21.518560275435448,21.345599740743637,21.409600228071213,0.0,113152,1.0,0.21220973691845793
rms,1,5120,torch.bfloat16,eager,forward_backward,5,53.55520248413086,53.74432027339935,53.55200171470642,53.58879864215851,0.0,174592,1.0,0.19464028084582963
rms,1,5120,torch.bfloat16,liger,forward,5,2.7295999228954315,2.86160004325211,2.711999975144863,2.739199995994568,0.0,10752,7.8253224213186625,1.6606096123301435
rms,1,5120,torch.bfloat16,liger,forward_backward,5,14.406399428844452,14.530080035328865,14.390399307012558,14.43520039319992,0.0,2263552,3.7174592269670645,0.7235673079697902
rms,1,5120,torch.bfloat16,tilelang,forward,5,2.619200013577938,2.7550399955362077,2.6016000658273697,2.6399999856948853,0.0,10752,8.155161639864474,1.73060470612314
rms,1,5120,torch.bfloat16,tilelang,forward_backward,5,9.324800223112106,9.459200091660023,9.307200089097023,9.334400296211243,0.0,31232,5.743308296449173,1.1178791398050503
rms,1,5120,torch.bfloat16,triton,forward,5,2.5359999388456345,2.6604800205677743,2.505600079894066,2.542399987578392,0.0,10752,8.42271293097357,1.7873816952215953
rms,1,5120,torch.bfloat16,triton,forward_backward,5,8.379199728369713,8.533920161426067,8.372799679636955,8.391999825835228,0.0,31232,6.39144598771257,1.2440328420593256
rms,1,5120,torch.float16,compile,forward,5,4.5632001012563705,4.810559879988432,4.547199979424477,4.684799909591675,0.0,10752,4.59922850767888,1.0
rms,1,5120,torch.float16,compile,forward_backward,5,10.425599664449692,10.558880269527435,10.415999963879585,10.582400113344193,0.0,31232,5.045426775081803,1.0
rms,1,5120,torch.float16,eager,forward,5,20.987199991941452,21.305120140314102,20.94239965081215,21.062399446964264,0.0,113152,1.0,0.21742777040331834
rms,1,5120,torch.float16,eager,forward_backward,5,52.60159969329834,53.020638823509216,52.56959795951843,52.73759961128235,0.0,174592,1.0,0.1981992890945854
rms,1,5120,torch.float16,liger,forward,5,2.6095999404788017,2.855360079556703,2.6000000536441803,2.744000032544136,0.0,10752,8.042305514496135,1.7486205569192066
rms,1,5120,torch.float16,liger,forward_backward,5,14.308799803256989,14.499679654836655,14.2752006649971,14.433600008487701,0.0,2263552,3.6761713362797273,0.728614545440534
rms,1,5120,torch.float16,tilelang,forward,5,2.643200010061264,2.8601600322872396,2.6256000623106956,2.771200053393841,0.0,10752,7.940072605952741,1.72639228355277
rms,1,5120,torch.float16,tilelang,forward_backward,5,9.359999746084213,9.788000024855137,9.348799660801888,9.496000036597252,0.0,31232,5.619829179515137,1.1138461482129074
rms,1,5120,torch.float16,triton,forward,5,2.502400055527687,3.051839964464305,2.489599958062172,2.6095999404788017,0.0,10752,8.386828455179135,1.8235294117647058
rms,1,5120,torch.float16,triton,forward_backward,5,8.193599805235863,8.396480195224285,8.187199756503105,8.206399902701378,0.0,31232,6.419839990193924,1.2724077221574257
rms,8,1536,torch.bfloat16,compile,forward,5,3.2464001327753067,3.364479877054691,3.2384000718593597,3.2496001571416855,0.0,25088,7.174469782450813,1.0
rms,8,1536,torch.bfloat16,compile,forward_backward,5,8.748800307512283,8.990879841148853,8.736000210046768,8.775999769568443,0.0,52736,6.602779439130246,1.0
rms,8,1536,torch.bfloat16,eager,forward,5,23.291199654340744,23.471840247511864,23.236799985170364,23.318399488925934,0.0,227840,1.0,0.1393831224219608
rms,8,1536,torch.bfloat16,eager,forward_backward,5,57.766398787498474,58.03471893072128,57.73920118808746,57.790401577949524,0.0,332288,1.0,0.1514513712321921
rms,8,1536,torch.bfloat16,liger,forward,5,2.25600004196167,2.3854399751871824,2.227200008928776,2.2671999409794807,0.0,25088,10.324113129930726,1.439007124287307
rms,8,1536,torch.bfloat16,liger,forward_backward,5,12.443200126290321,12.61247992515564,12.435200065374374,12.460800260305405,0.0,722432,4.642406953292353,0.7030988988939901
rms,8,1536,torch.bfloat16,tilelang,forward,5,2.300800010561943,2.4244800209999084,2.2512000054121017,2.319999970495701,0.0,25088,10.12308742499186,1.4109875338458522
rms,8,1536,torch.bfloat16,tilelang,forward_backward,5,7.331199944019318,7.479999922215939,7.302399724721909,7.348800078034401,0.0,52736,7.879528484913774,1.1933653937033082
rms,8,1536,torch.bfloat16,triton,forward,5,2.1423999220132828,2.3361600562930103,2.1247999742627144,2.1503999829292297,0.0,25088,10.871546164197602,1.5153100499203525
rms,8,1536,torch.bfloat16,triton,forward_backward,5,7.3263999074697495,7.474719882011414,7.319999858736992,7.3552001267671585,0.0,52736,7.884690914647153,1.1941472507653184
rms,8,1536,torch.float16,compile,forward,5,3.171199932694435,3.29775994643569,3.1488001346588135,3.190400078892708,0.0,25088,7.219979970925537,1.0
rms,8,1536,torch.float16,compile,forward_backward,5,8.694399893283844,8.844479881227016,8.67999978363514,8.808000013232231,0.0,52736,6.556128124896632,1.0
rms,8,1536,torch.float16,eager,forward,5,22.895999997854233,23.090879917144775,22.889600694179535,23.03199991583824,0.0,227840,1.0,0.13850453935148643
rms,8,1536,torch.float16,eager,forward_backward,5,57.00159966945648,57.472479939460754,56.98399841785431,57.04319775104523,0.0,332288,1.0,0.1525290508284212
rms,8,1536,torch.float16,liger,forward,5,2.223999984562397,2.3740800563246007,2.2127999924123287,2.2463999688625336,0.0,25088,10.294964099273292,1.4258992602099378
rms,8,1536,torch.float16,liger,forward_backward,5,12.248000130057335,12.451040111482143,12.212799862027168,12.264000251889229,0.0,722432,4.653951589171778,0.7098628184977938
rms,8,1536,torch.float16,tilelang,forward,5,2.2943999618291855,2.4368000123649836,2.286399994045496,2.3072000592947006,0.0001220703125,25088,9.979079662989815,1.3821478318741909
rms,8,1536,torch.float16,tilelang,forward_backward,5,7.276800274848938,7.644000090658665,7.2624001652002335,7.417599856853485,0.0001220703125,52736,7.8333329920395265,1.1948108460987457
rms,8,1536,torch.float16,triton,forward,5,2.147199958562851,2.3177600372582674,2.1407999098300934,2.1743999794125557,0.0,25088,10.663189474527945,1.4769001461871119
rms,8,1536,torch.float16,triton,forward_backward,5,7.268800213932991,7.449440024793148,7.265600189566612,7.292800024151802,0.0,52736,7.841954379237801,1.1961258581049226
rms,8,3584,torch.bfloat16,compile,forward,5,4.475199989974499,4.772319924086331,4.45760004222393,4.583999887108803,0.0,57856,5.847693879896264,1.0
rms,8,3584,torch.bfloat16,compile,forward_backward,5,11.854400113224983,12.100960090756416,11.830399930477142,11.859200149774551,0.0,122368,5.418275046428643,1.0
rms,8,3584,torch.bfloat16,eager,forward,5,26.1695995926857,26.373758912086487,26.153600215911865,26.19359940290451,0.0,530944,1.0,0.1710075835942595
rms,8,3584,torch.bfloat16,eager,forward_backward,5,64.2304003238678,64.51231867074966,64.1759991645813,64.31839764118195,0.0,774656,1.0,0.18456058273732925
rms,8,3584,torch.bfloat16,liger,forward,5,2.425600029528141,2.622399982064962,2.4159999564290047,2.449600026011467,0.0,57856,10.788917906542302,1.8449867807946359
rms,8,3584,torch.bfloat16,liger,forward_backward,5,13.82720023393631,13.993920013308525,13.814400136470795,13.835199922323227,0.0,1684992,4.645220958486313,0.8573246870418891
rms,8,3584,torch.bfloat16,tilelang,forward,5,2.4992000311613083,2.625920046120882,2.4639999493956566,2.6256000623106956,0.0,57856,10.471190487511885,1.7906529826246036
rms,8,3584,torch.bfloat16,tilelang,forward_backward,5,8.471999689936638,8.630880154669285,8.43840017914772,8.484799787402153,0.0,122368,7.581492289260008,1.3992446349243957
rms,8,3584,torch.bfloat16,triton,forward,5,2.3951999843120575,2.546560000628233,2.387200016528368,2.407999988645315,0.0,57856,10.925851604913925,1.868403481665792
rms,8,3584,torch.bfloat16,triton,forward_backward,5,8.06880034506321,8.324960060417652,8.060800284147263,8.084799721837044,0.0,122368,7.960340766538651,1.4691651306600917
rms,8,3584,torch.float16,compile,forward,5,4.318400099873543,4.4747199304401875,4.315200075507164,4.3327998369932175,0.000244140625,57856,5.966654063274206,1.0
rms,8,3584,torch.float16,compile,forward_backward,5,11.64960004389286,11.810400113463402,11.639999970793724,11.659200116991997,0.000244140625,122368,5.43537990327791,1.0
rms,8,3584,torch.float16,eager,forward,5,25.76639950275421,25.94399929046631,25.758400559425354,25.77439993619919,0.0,530944,1.0,0.16759811938070518
rms,8,3584,torch.float16,eager,forward_backward,5,63.32000195980072,63.74096006155014,63.29440176486969,63.35679888725281,0.0,774656,1.0,0.18397978021682176
rms,8,3584,torch.float16,liger,forward,5,2.4096000008285046,2.5364800076931715,2.4032000452280045,2.436799928545952,0.0009765625,57856,10.693226881596457,1.7921647154667688
rms,8,3584,torch.float16,liger,forward_backward,5,13.606399297714233,13.823039457201958,13.4832002222538,13.623999804258347,0.0009765625,1684992,4.653692764289078,0.8561853719705184
rms,8,3584,torch.float16,tilelang,forward,5,2.4879999458789825,2.643200010061264,2.486399933695793,2.510399930179119,0.0009765625,57856,10.356270121883476,1.7356913962262568
rms,8,3584,torch.float16,tilelang,forward_backward,5,8.449600264430046,8.617599979043007,8.4416002035141,8.454400300979614,0.0009765625,122368,7.493845859946354,1.37871611429167
rms,8,3584,torch.float16,triton,forward,5,2.383999992161989,2.528959969058633,2.361599914729595,2.3951999843120575,0.0009765625,57856,10.808053518233159,1.8114094438218915
rms,8,3584,torch.float16,triton,forward_backward,5,7.983999699354172,8.137440048158169,7.976000010967255,7.9951997846364975,0.0009765625,122368,7.930862267557788,1.4591182969151666
rms,8,5120,torch.bfloat16,compile,forward,5,5.644800141453743,5.76591994613409,5.632000043988228,5.657599866390228,0.0,82432,4.986677903428741,1.0
rms,8,5120,torch.bfloat16,compile,forward_backward,5,14.73120003938675,14.874720349907875,14.715199917554855,14.748799800872803,0.0,174592,4.632236223137483,1.0
rms,8,5120,torch.bfloat16,eager,forward,5,28.148800134658813,28.300320506095886,28.140799701213837,28.15520018339157,0.0,758272,1.0,0.2005343074820252
rms,8,5120,torch.bfloat16,eager,forward_backward,5,68.23839843273163,68.42592179775238,68.22880208492279,68.27200055122375,0.0,1106432,1.0,0.2158784552059577
rms,8,5120,torch.bfloat16,liger,forward,5,2.831999957561493,2.95823996886611,2.816000021994114,2.860799990594387,0.0,82432,9.93954821909548,1.9932204188005092
